subject,version,assignmentId,trial,practice,opt1_id,opt2_id,attributes,opt1_values,opt2_values,choice,rt,stamp,id
5e1c6eb807951345dc242ef4,ma_choice_v2_pilot1,"",0,1,-1,-1,"Amount of Crime in Neighborhood,Size of Yard,Hardwood Floors,Proximity to Cafes/Restaurants,Age of Building,Freshly Painted Exterior,Fireplace","Moderate,Medium,Yes,20 min,Old,No,No","Very High,None,No,20 min,Medium,Yes,Yes",0,15350,2021-10-07 14:46:39,1737
5e1c6eb807951345dc242ef4,ma_choice_v2_pilot1,"",1,1,-1,-1,"Reputation of Closest School,Size of Yard,Washer/Dryer,Amount of Natural Light,Central AC,Climate of Area,Number of Bedrooms","Very Good,Medium,No,A lot of natural light,No,Moderate,1","Very Bad,Small,No,Moderate natural light,No,Bad,1",0,13145,2021-10-07 14:46:53,1738
5e1c6eb807951345dc242ef4,ma_choice_v2_pilot1,"",2,1,-1,-1,"Noise Pollution,Proximity to Cafes/Restaurants,Size of Home,Hardwood Floors,Proximity to Waterfront/Beaches,Washer/Dryer,Climate of Area","High,20 min,1445 sq feet,No,30 min,Yes,Bad","Low,5 min,531 sq feet,No,10 min,No,Very Good",1,8926,2021-10-07 14:47:03,1739
5e1c6eb807951345dc242ef4,ma_choice_v2_pilot1,"",3,1,-1,-1,"Amount of Crime in Neighborhood,Central AC,Fireplace,Washer/Dryer,Proximity to Waterfront/Beaches,Climate of Area,Freshly Painted Exterior","Moderate,No,Yes,No,120 minutes,Very Bad,Yes","Very High,Yes,Yes,No,10 min,Very Bad,No",1,14371,2021-10-07 14:47:19,1740
5e1c6eb807951345dc242ef4,ma_choice_v2_pilot1,"",4,1,-1,-1,"Number of Bedrooms,Proximity to Cafes/Restaurants,Age of Building,Climate of Area,Fireplace,Hardwood Floors,Noise Pollution","1,5 min,Old,Very Bad,No,No,Low","1,10 min,New,Bad,Yes,No,Low",0,12198,2021-10-07 14:47:32,1741
5e1c6eb807951345dc242ef4,ma_choice_v2_pilot1,"",5,1,-1,-1,"Climate of Area,Reputation of Closest School,Noise Pollution,Proximity to Parks,Amount of Natural Light,Amount of Crime in Neighborhood,Freshly Painted Exterior","Bad,Bad,Low,20 min,Moderate natural light,High,Yes","Bad,Very Bad,High,10 min,Moderate natural light,Moderate,Yes",1,18329,2021-10-07 14:47:51,1742
5e1c6eb807951345dc242ef4,ma_choice_v2_pilot1,"",6,1,-1,-1,"Climate of Area,Amount of Crime in Neighborhood,Amount of Natural Light,Age of Building,Proximity to Waterfront/Beaches,Reputation of Closest School,Size of Yard","Very Bad,Low,Moderate natural light,Medium,10 min,Moderate,Small","Moderate,Very High,Moderate natural light,Medium,30 min,Moderate,Medium",0,13761,2021-10-07 14:48:06,1743
5e1c6eb807951345dc242ef4,ma_choice_v2_pilot1,"",7,1,-1,-1,"Freshly Painted Exterior,Reputation of Closest School,Size of Home,Proximity to Waterfront/Beaches,Proximity to Cafes/Restaurants,Amount of Crime in Neighborhood,Number of Bedrooms","No,Very Bad,1332 sq feet,10 min,5 min,Moderate,1","No,Very Bad,1863 sq feet,10 min,20 min,High,1",0,10969,2021-10-07 14:48:18,1744
5e1c6eb807951345dc242ef4,ma_choice_v2_pilot1,"",8,1,-1,-1,"Noise Pollution,Size of Home,Proximity to Cafes/Restaurants,Number of Bedrooms,Reputation of Closest School,Age of Building,Fireplace","Low,1439 sq feet,10 min,3,Bad,New,Yes","Low,1025 sq feet,20 min,3,Bad,New,No",0,11564,2021-10-07 14:48:31,1745
5e1c6eb807951345dc242ef4,ma_choice_v2_pilot1,"",9,1,-1,-1,"Central AC,Age of Building,Hardwood Floors,Fireplace,Proximity to Cafes/Restaurants,Amount of Crime in Neighborhood,Size of Garage","No,New,No,No,20 min,Very Low,Small","No,Medium,No,No,20 min,Very High,Medium",1,13201,2021-10-07 14:48:45,1746
5e1c6eb807951345dc242ef4,ma_choice_v2_pilot1,"",0,0,-1,-1,"Central AC,Reputation of Closest School,Number of Bedrooms,Size of Home,Size of Yard,Washer/Dryer,Fireplace","Yes,Good,2,1179 sq feet,Small,Yes,No","No,Moderate,3,1706 sq feet,Large,Yes,Yes",1,10533,2021-10-07 14:49:16,1747
5e1c6eb807951345dc242ef4,ma_choice_v2_pilot1,"",1,0,-1,-1,"Size of Yard,Proximity to Waterfront/Beaches,Noise Pollution,Proximity to Cafes/Restaurants,Size of Home,Age of Building,Central AC","None,120 minutes,Medium,20 min,1474 sq feet,Medium,Yes","Small,60 min,High,5 min,543 sq feet,New,Yes",0,10013,2021-10-07 14:49:27,1748
5e1c6eb807951345dc242ef4,ma_choice_v2_pilot1,"",2,0,-1,-1,"Amount of Crime in Neighborhood,Proximity to Cafes/Restaurants,Size of Garage,Proximity to Parks,Fireplace,Washer/Dryer,Noise Pollution","Low,10 min,Medium,10 min,Yes,No,High","Very Low,5 min,Small,10 min,No,No,Low",1,16938,2021-10-07 14:49:45,1749
5e1c6eb807951345dc242ef4,ma_choice_v2_pilot1,"",3,0,-1,-1,"Climate of Area,Amount of Natural Light,Size of Garage,Hardwood Floors,Proximity to Cafes/Restaurants,Fireplace,Reputation of Closest School","Bad,No natural light,None,Yes,20 min,No,Good","Very Bad,A lot of natural light,Small,No,10 min,Yes,Very Good",1,7878,2021-10-07 14:49:54,1750
5e1c6eb807951345dc242ef4,ma_choice_v2_pilot1,"",4,0,-1,-1,"Proximity to Waterfront/Beaches,Washer/Dryer,Climate of Area,Size of Home,Amount of Crime in Neighborhood,Age of Building,Size of Garage","10 min,Yes,Moderate,947 sq feet,Low,Old,None","60 min,No,Very Good,1074 sq feet,Low,Medium,None",0,8301,2021-10-07 14:50:03,1751
5e1c6eb807951345dc242ef4,ma_choice_v2_pilot1,"",5,0,-1,-1,"Fireplace,Amount of Natural Light,Size of Yard,Proximity to Parks,Age of Building,Freshly Painted Exterior,Hardwood Floors","No,No natural light,None,10 min,Medium,Yes,No","No,A little natural light,Large,20 min,Medium,Yes,Yes",1,7977,2021-10-07 14:50:12,1752
5e1c6eb807951345dc242ef4,ma_choice_v2_pilot1,"",6,0,-1,-1,"Amount of Crime in Neighborhood,Number of Bedrooms,Amount of Natural Light,Proximity to Waterfront/Beaches,Size of Yard,Fireplace,Reputation of Closest School","High,2,No natural light,10 min,None,Yes,Good","Moderate,3,Moderate natural light,90 minutes,Small,No,Bad",1,8033,2021-10-07 14:50:21,1753
5e7cd5fbbb2c2c33153d372c,ma_choice_v2_pilot1,"",0,1,-1,-1,"Amount of Crime in Neighborhood,Size of Home,Age of Building,Washer/Dryer,Proximity to Cafes/Restaurants,Proximity to Waterfront/Beaches,Reputation of Closest School","Moderate,1318 sq feet,Medium,Yes,5 min,10 min,Good","Very High,839 sq feet,Medium,Yes,20 min,30 min,Moderate",0,24776,2021-10-07 14:50:22,1754
5e1c6eb807951345dc242ef4,ma_choice_v2_pilot1,"",7,0,-1,-1,"Reputation of Closest School,Amount of Natural Light,Hardwood Floors,Size of Yard,Fireplace,Amount of Crime in Neighborhood,Freshly Painted Exterior","Good,A lot of natural light,No,None,No,High,Yes","Moderate,A little natural light,Yes,None,No,Low,No",0,8943,2021-10-07 14:50:31,1755
5e1c6eb807951345dc242ef4,ma_choice_v2_pilot1,"",8,0,-1,-1,"Climate of Area,Hardwood Floors,Size of Home,Amount of Crime in Neighborhood,Size of Yard,Fireplace,Noise Pollution","Moderate,Yes,605 sq feet,High,Medium,Yes,Low","Very Bad,No,1205 sq feet,Very Low,Medium,No,Medium",0,15347,2021-10-07 14:50:48,1756
5e7cd5fbbb2c2c33153d372c,ma_choice_v2_pilot1,"",1,1,-1,-1,"Size of Yard,Climate of Area,Size of Garage,Washer/Dryer,Proximity to Waterfront/Beaches,Fireplace,Central AC","None,Moderate,Medium,No,90 minutes,Yes,No","Small,Bad,Large,No,10 min,Yes,Yes",1,25085,2021-10-07 14:50:48,1757
5e1c6eb807951345dc242ef4,ma_choice_v2_pilot1,"",9,0,-1,-1,"Age of Building,Size of Home,Noise Pollution,Washer/Dryer,Size of Yard,Hardwood Floors,Amount of Crime in Neighborhood","Old,880 sq feet,High,No,Large,Yes,Moderate","Medium,554 sq feet,Medium,No,Medium,Yes,High",0,8238,2021-10-07 14:50:57,1758
5e1c6eb807951345dc242ef4,ma_choice_v2_pilot1,"",10,0,-1,-1,"Freshly Painted Exterior,Reputation of Closest School,Proximity to Cafes/Restaurants,Number of Bedrooms,Central AC,Amount of Natural Light,Amount of Crime in Neighborhood","No,Very Bad,20 min,2,No,No natural light,Moderate","Yes,Very Bad,20 min,2,No,No natural light,Very High",0,14211,2021-10-07 14:51:12,1759
5e7cd5fbbb2c2c33153d372c,ma_choice_v2_pilot1,"",2,1,-1,-1,"Fireplace,Size of Garage,Noise Pollution,Hardwood Floors,Size of Yard,Number of Bedrooms,Proximity to Parks","No,Small,Medium,Yes,None,3,5 min","Yes,Small,Low,No,Small,2,10 min",1,24021,2021-10-07 14:51:13,1760
5e1c6eb807951345dc242ef4,ma_choice_v2_pilot1,"",11,0,-1,-1,"Freshly Painted Exterior,Size of Yard,Proximity to Parks,Size of Garage,Climate of Area,Washer/Dryer,Number of Bedrooms","No,Medium,20 min,None,Moderate,Yes,2","No,Small,10 min,None,Moderate,No,3",1,12319,2021-10-07 14:51:25,1761
5e1c6eb807951345dc242ef4,ma_choice_v2_pilot1,"",12,0,-1,-1,"Proximity to Waterfront/Beaches,Central AC,Washer/Dryer,Number of Bedrooms,Noise Pollution,Reputation of Closest School,Freshly Painted Exterior","30 min,Yes,No,1,High,Very Bad,Yes","90 minutes,No,No,3,Low,Good,No",0,7891,2021-10-07 14:51:34,1762
5e7cd5fbbb2c2c33153d372c,ma_choice_v2_pilot1,"",3,1,-1,-1,"Number of Bedrooms,Climate of Area,Size of Yard,Proximity to Parks,Size of Home,Amount of Crime in Neighborhood,Hardwood Floors","3,Very Good,Small,20 min,834 sq feet,Very Low,Yes","1,Very Bad,Small,10 min,1991 sq feet,Very High,Yes",0,21032,2021-10-07 14:51:35,1763
5e1c6eb807951345dc242ef4,ma_choice_v2_pilot1,"",13,0,-1,-1,"Amount of Crime in Neighborhood,Number of Bedrooms,Climate of Area,Freshly Painted Exterior,Size of Home,Proximity to Waterfront/Beaches,Fireplace","Low,1,Moderate,No,1542 sq feet,30 min,Yes","Moderate,1,Bad,No,1699 sq feet,120 minutes,Yes",0,8788,2021-10-07 14:51:44,1764
5e7cd5fbbb2c2c33153d372c,ma_choice_v2_pilot1,"",4,1,-1,-1,"Fireplace,Age of Building,Washer/Dryer,Proximity to Parks,Amount of Natural Light,Proximity to Cafes/Restaurants,Climate of Area","Yes,New,No,10 min,A lot of natural light,10 min,Good","Yes,Medium,No,5 min,No natural light,20 min,Very Good",0,15763,2021-10-07 14:51:52,1765
5e1c6eb807951345dc242ef4,ma_choice_v2_pilot1,"",14,0,-1,-1,"Size of Yard,Hardwood Floors,Noise Pollution,Proximity to Parks,Age of Building,Number of Bedrooms,Central AC","None,No,Low,20 min,Medium,1,No","Medium,Yes,Medium,20 min,Old,3,Yes",1,9762,2021-10-07 14:51:55,1766
5e1c6eb807951345dc242ef4,ma_choice_v2_pilot1,"",15,0,-1,-1,"Number of Bedrooms,Reputation of Closest School,Size of Yard,Amount of Natural Light,Washer/Dryer,Hardwood Floors,Proximity to Parks","2,Bad,Large,A lot of natural light,No,Yes,20 min","1,Moderate,Large,A little natural light,Yes,Yes,20 min",0,8009,2021-10-07 14:52:04,1767
5e7cd5fbbb2c2c33153d372c,ma_choice_v2_pilot1,"",5,1,-1,-1,"Freshly Painted Exterior,Proximity to Waterfront/Beaches,Fireplace,Amount of Crime in Neighborhood,Climate of Area,Hardwood Floors,Proximity to Cafes/Restaurants","No,30 min,Yes,Moderate,Bad,Yes,5 min","Yes,10 min,Yes,High,Very Good,Yes,20 min",0,21534,2021-10-07 14:52:15,1768
5e1c6eb807951345dc242ef4,ma_choice_v2_pilot1,"",16,0,-1,-1,"Hardwood Floors,Reputation of Closest School,Proximity to Cafes/Restaurants,Fireplace,Amount of Crime in Neighborhood,Central AC,Size of Home","No,Very Bad,20 min,No,Low,No,1627 sq feet","No,Moderate,10 min,No,Very Low,No,1754 sq feet",1,13609,2021-10-07 14:52:19,1769
5e7cd5fbbb2c2c33153d372c,ma_choice_v2_pilot1,"",6,1,-1,-1,"Size of Yard,Amount of Crime in Neighborhood,Washer/Dryer,Climate of Area,Size of Home,Number of Bedrooms,Proximity to Cafes/Restaurants","Large,Very Low,No,Very Bad,979 sq feet,1,20 min","None,Very High,Yes,Very Good,1306 sq feet,1,10 min",0,12267,2021-10-07 14:52:28,1770
