subject,version,assignmentId,attribute,scale,lb,ub,postfix,stamp,id
5c112b5d8124060001bfa35f,ma_choice_v3_pilot3,5c112b5d8124060001bfa35f,Proximity to public transportation,"5 min away,10 min away,15 min away,20 min away,25 min away","","","",2022-01-25 23:31:29,9445
5c112b5d8124060001bfa35f,ma_choice_v3_pilot3,5c112b5d8124060001bfa35f,Reputation of closest school,"Very Bad,Bad,Moderate,Good,Very Good","","","",2022-01-25 23:31:29,9446
5c112b5d8124060001bfa35f,ma_choice_v3_pilot3,5c112b5d8124060001bfa35f,Proximity to cafes/restaurants,"5 min away,10 min away,15 min away,20 min away,25 min away","","","",2022-01-25 23:31:29,9447
5c112b5d8124060001bfa35f,ma_choice_v3_pilot3,5c112b5d8124060001bfa35f,Year building was built,"",1950,2020,"",2022-01-25 23:31:29,9448
5c112b5d8124060001bfa35f,ma_choice_v3_pilot3,5c112b5d8124060001bfa35f,Amount of natural light,"Very Little,A Little,A Moderate Amount,A Lot","","","",2022-01-25 23:31:29,9449
5c112b5d8124060001bfa35f,ma_choice_v3_pilot3,5c112b5d8124060001bfa35f,Amount of crime in neighborhood,"Very Low,Low,Moderate,High,Very High","","","",2022-01-25 23:31:29,9450
5c112b5d8124060001bfa35f,ma_choice_v3_pilot3,5c112b5d8124060001bfa35f,Noise pollution,"Very Low,Low,Moderate,High,Very High","","","",2022-01-25 23:31:29,9451
5c112b5d8124060001bfa35f,ma_choice_v3_pilot3,5c112b5d8124060001bfa35f,Proximity to parks,"5 min away,10 min away,15 min away,20 min away,25 min away","","","",2022-01-25 23:31:29,9452
5c112b5d8124060001bfa35f,ma_choice_v3_pilot3,5c112b5d8124060001bfa35f,Size of yard,"None,Small,Medium,Large,Very Large","","","",2022-01-25 23:31:29,9453
5c112b5d8124060001bfa35f,ma_choice_v3_pilot3,5c112b5d8124060001bfa35f,Amount of traffic,"Very Little,A Little,A Moderate Amount,A Lot","","","",2022-01-25 23:31:29,9454
5c112b5d8124060001bfa35f,ma_choice_v3_pilot3,5c112b5d8124060001bfa35f,Quality of heat/AC system,"Very Bad,Bad,Moderate,Good,Very Good","","","",2022-01-25 23:31:29,9455
5c112b5d8124060001bfa35f,ma_choice_v3_pilot3,5c112b5d8124060001bfa35f,Size of home,"",600,1800, square feet,2022-01-25 23:31:29,9456
5dd6861c070fdc6179d8003e,ma_choice_v3_pilot3,5dd6861c070fdc6179d8003e,Amount of crime in neighborhood,"Very Low,Low,Moderate,High,Very High","","","",2022-01-25 23:32:27,9457
5dd6861c070fdc6179d8003e,ma_choice_v3_pilot3,5dd6861c070fdc6179d8003e,Amount of natural light,"Very Little,A Little,A Moderate Amount,A Lot","","","",2022-01-25 23:32:27,9458
5dd6861c070fdc6179d8003e,ma_choice_v3_pilot3,5dd6861c070fdc6179d8003e,Year building was built,"",1950,2020,"",2022-01-25 23:32:27,9459
5dd6861c070fdc6179d8003e,ma_choice_v3_pilot3,5dd6861c070fdc6179d8003e,Noise pollution,"Very Low,Low,Moderate,High,Very High","","","",2022-01-25 23:32:27,9460
5dd6861c070fdc6179d8003e,ma_choice_v3_pilot3,5dd6861c070fdc6179d8003e,Size of home,"",600,1800, square feet,2022-01-25 23:32:27,9461
5dd6861c070fdc6179d8003e,ma_choice_v3_pilot3,5dd6861c070fdc6179d8003e,Proximity to public transportation,"5 min away,10 min away,15 min away,20 min away,25 min away","","","",2022-01-25 23:32:27,9462
5dd6861c070fdc6179d8003e,ma_choice_v3_pilot3,5dd6861c070fdc6179d8003e,Proximity to cafes/restaurants,"5 min away,10 min away,15 min away,20 min away,25 min away","","","",2022-01-25 23:32:27,9463
5dd6861c070fdc6179d8003e,ma_choice_v3_pilot3,5dd6861c070fdc6179d8003e,Reputation of closest school,"Very Bad,Bad,Moderate,Good,Very Good","","","",2022-01-25 23:32:27,9464
5dd6861c070fdc6179d8003e,ma_choice_v3_pilot3,5dd6861c070fdc6179d8003e,Proximity to parks,"5 min away,10 min away,15 min away,20 min away,25 min away","","","",2022-01-25 23:32:27,9465
5dd6861c070fdc6179d8003e,ma_choice_v3_pilot3,5dd6861c070fdc6179d8003e,Size of yard,"None,Small,Medium,Large,Very Large","","","",2022-01-25 23:32:27,9466
5dd6861c070fdc6179d8003e,ma_choice_v3_pilot3,5dd6861c070fdc6179d8003e,Amount of traffic,"Very Little,A Little,A Moderate Amount,A Lot","","","",2022-01-25 23:32:27,9467
5dd6861c070fdc6179d8003e,ma_choice_v3_pilot3,5dd6861c070fdc6179d8003e,Quality of heat/AC system,"Very Bad,Bad,Moderate,Good,Very Good","","","",2022-01-25 23:32:27,9468
5dd73f496ca7e76e32b1aa16,ma_choice_v3_pilot3,5dd73f496ca7e76e32b1aa16,Proximity to parks,"5 min away,10 min away,15 min away,20 min away,25 min away","","","",2022-01-25 23:35:51,9469
5dd73f496ca7e76e32b1aa16,ma_choice_v3_pilot3,5dd73f496ca7e76e32b1aa16,Proximity to cafes/restaurants,"5 min away,10 min away,15 min away,20 min away,25 min away","","","",2022-01-25 23:35:51,9470
5dd73f496ca7e76e32b1aa16,ma_choice_v3_pilot3,5dd73f496ca7e76e32b1aa16,Year building was built,"",1950,2020,"",2022-01-25 23:35:51,9471
5dd73f496ca7e76e32b1aa16,ma_choice_v3_pilot3,5dd73f496ca7e76e32b1aa16,Size of yard,"None,Small,Medium,Large,Very Large","","","",2022-01-25 23:35:51,9472
5dd73f496ca7e76e32b1aa16,ma_choice_v3_pilot3,5dd73f496ca7e76e32b1aa16,Proximity to public transportation,"5 min away,10 min away,15 min away,20 min away,25 min away","","","",2022-01-25 23:35:51,9473
