subject,version,assignmentId,trial,practice,opt1_id,opt2_id,attributes,opt1_values,opt2_values,choice,rt,stamp,id
60fe22dd264b60cfa27edffd,ma_choice_v3_pilot3,60fe22dd264b60cfa27edffd,0,1,-1,-1,"Amount of natural light,Washer/dryer in unit,Size of home,Reputation of closest school,Year building was built,Proximity to public transportation,Amount of traffic,Proximity to parks,Noise pollution,Size of yard,Quality of heat/AC system,Proximity to cafes/restaurants","A Lot,No,1200 square feet,Bad,1969,20 min away,A Little,10 min away,Moderate,300 square feet,Very Bad,5 min away","A Little,Yes,1700 square feet,Good,2016,5 min away,A Lot,20 min away,Very Low,700 square feet,Very Good,20 min away",1,19689,2022-01-26 19:19:23,10854
60fe22dd264b60cfa27edffd,ma_choice_v3_pilot3,60fe22dd264b60cfa27edffd,1,1,-1,-1,"Amount of traffic,Size of yard,Proximity to public transportation,Amount of natural light,Proximity to parks,Quality of heat/AC system,Washer/dryer in unit,Size of home,Noise pollution,Year building was built,Proximity to cafes/restaurants,Reputation of closest school","A Lot,0 square feet,20 min away,Very Little,15 min away,Very Good,Yes,1800 square feet,Moderate,1983,15 min away,Good","Very Little,400 square feet,10 min away,A Moderate Amount,25 min away,Very Bad,No,800 square feet,Very High,2012,25 min away,Very Bad",0,25261,2022-01-26 19:19:49,10855
60fe22dd264b60cfa27edffd,ma_choice_v3_pilot3,60fe22dd264b60cfa27edffd,2,1,-1,-1,"Amount of natural light,Quality of heat/AC system,Year building was built,Size of yard,Amount of traffic,Proximity to cafes/restaurants,Size of home,Washer/dryer in unit,Proximity to parks,Proximity to public transportation,Reputation of closest school,Noise pollution","A Moderate Amount,Very Good,1967,500 square feet,A Moderate Amount,5 min away,1700 square feet,No,5 min away,10 min away,Very Bad,Low","Very Little,Bad,1992,900 square feet,Very Little,25 min away,1200 square feet,Yes,25 min away,25 min away,Moderate,Very High",0,11087,2022-01-26 19:20:01,10856
60fe22dd264b60cfa27edffd,ma_choice_v3_pilot3,60fe22dd264b60cfa27edffd,3,1,-1,-1,"Proximity to parks,Washer/dryer in unit,Proximity to cafes/restaurants,Proximity to public transportation,Quality of heat/AC system,Size of yard,Year building was built,Reputation of closest school,Amount of natural light,Noise pollution,Size of home,Amount of traffic","20 min away,Yes,5 min away,25 min away,Moderate,700 square feet,1983,Very Bad,Very Little,Very High,1100 square feet,A Little","10 min away,No,25 min away,10 min away,Very Bad,400 square feet,2010,Moderate,A Moderate Amount,Moderate,1800 square feet,A Lot",1,13638,2022-01-26 19:20:16,10857
60fe22dd264b60cfa27edffd,ma_choice_v3_pilot3,60fe22dd264b60cfa27edffd,4,1,-1,-1,"Amount of traffic,Size of home,Year building was built,Proximity to public transportation,Quality of heat/AC system,Amount of natural light,Proximity to cafes/restaurants,Noise pollution,Washer/dryer in unit,Proximity to parks,Size of yard,Reputation of closest school","A Little,1600 square feet,2016,25 min away,Very Bad,Very Little,15 min away,Low,No,20 min away,900 square feet,Very Bad","A Lot,1100 square feet,1982,15 min away,Good,A Lot,25 min away,High,Yes,10 min away,400 square feet,Good",0,7977,2022-01-26 19:20:25,10858
60fe22dd264b60cfa27edffd,ma_choice_v3_pilot3,60fe22dd264b60cfa27edffd,5,1,-1,-1,"Proximity to cafes/restaurants,Proximity to parks,Reputation of closest school,Year building was built,Proximity to public transportation,Quality of heat/AC system,Size of home,Noise pollution,Washer/dryer in unit,Amount of traffic,Amount of natural light,Size of yard","25 min away,5 min away,Good,1950,25 min away,Moderate,900 square feet,Very Low,No,A Lot,A Lot,700 square feet","15 min away,15 min away,Bad,1984,10 min away,Very Good,600 square feet,High,Yes,Very Little,A Little,100 square feet",0,8050,2022-01-26 19:20:34,10859
60fe22dd264b60cfa27edffd,ma_choice_v3_pilot3,60fe22dd264b60cfa27edffd,6,1,-1,-1,"Proximity to cafes/restaurants,Amount of traffic,Size of yard,Reputation of closest school,Noise pollution,Amount of natural light,Proximity to parks,Washer/dryer in unit,Year building was built,Proximity to public transportation,Size of home,Quality of heat/AC system","5 min away,A Lot,100 square feet,Very Good,Low,A Lot,25 min away,Yes,1976,15 min away,700 square feet,Bad","15 min away,A Little,700 square feet,Bad,High,Very Little,15 min away,No,2015,5 min away,1000 square feet,Good",1,7465,2022-01-26 19:20:43,10860
60fe22dd264b60cfa27edffd,ma_choice_v3_pilot3,60fe22dd264b60cfa27edffd,7,1,-1,-1,"Amount of traffic,Size of yard,Proximity to parks,Washer/dryer in unit,Reputation of closest school,Size of home,Amount of natural light,Quality of heat/AC system,Noise pollution,Proximity to public transportation,Proximity to cafes/restaurants,Year building was built","A Little,400 square feet,25 min away,Yes,Very Bad,1200 square feet,Very Little,Very Bad,Low,15 min away,10 min away,1993","A Lot,100 square feet,5 min away,No,Very Good,1000 square feet,A Lot,Moderate,Very High,5 min away,20 min away,1954",0,7456,2022-01-26 19:20:51,10861
60fe22dd264b60cfa27edffd,ma_choice_v3_pilot3,60fe22dd264b60cfa27edffd,8,1,-1,-1,"Proximity to parks,Size of home,Proximity to public transportation,Amount of traffic,Proximity to cafes/restaurants,Noise pollution,Amount of natural light,Washer/dryer in unit,Size of yard,Year building was built,Quality of heat/AC system,Reputation of closest school","15 min away,1300 square feet,15 min away,A Lot,15 min away,Low,A Moderate Amount,Yes,900 square feet,1971,Very Good,Very Good","5 min away,1700 square feet,5 min away,Very Little,5 min away,High,Very Little,No,400 square feet,1999,Moderate,Moderate",1,8916,2022-01-26 19:21:01,10862
60fe22dd264b60cfa27edffd,ma_choice_v3_pilot3,60fe22dd264b60cfa27edffd,9,1,-1,-1,"Amount of traffic,Noise pollution,Washer/dryer in unit,Reputation of closest school,Proximity to public transportation,Size of home,Amount of natural light,Quality of heat/AC system,Size of yard,Proximity to cafes/restaurants,Proximity to parks,Year building was built","A Lot,Very High,Yes,Very Bad,25 min away,800 square feet,A Moderate Amount,Bad,300 square feet,20 min away,15 min away,1989","A Little,Moderate,No,Moderate,15 min away,1400 square feet,Very Little,Very Good,600 square feet,10 min away,25 min away,1960",1,8519,2022-01-26 19:21:10,10863
