subject,version,assignmentId,attribute,scale,min_diff,lb,ub,postfix,stamp,id
5eb1f6fc96a926357133cbb1,ma_choice_v3_real1,5eb1f6fc96a926357133cbb1,Noise pollution,"Very Low,Low,Moderate,High,Very High",2,"","","",2022-01-27 17:16:23,10465
5eb1f6fc96a926357133cbb1,ma_choice_v3_real1,5eb1f6fc96a926357133cbb1,Closeness to public transportation,"10 min away,15 min away,20 min away,25 min away,30 min away",2,"","","",2022-01-27 17:16:23,10466
5eb1f6fc96a926357133cbb1,ma_choice_v3_real1,5eb1f6fc96a926357133cbb1,Amount of natural light,"Very Little,A Little,A Moderate Amount,A Lot",2,"","","",2022-01-27 17:16:23,10467
5eb1f6fc96a926357133cbb1,ma_choice_v3_real1,5eb1f6fc96a926357133cbb1,Amount of traffic,"Very Little,A Little,A Moderate Amount,A Lot",2,"","","",2022-01-27 17:16:23,10468
5eb1f6fc96a926357133cbb1,ma_choice_v3_real1,5eb1f6fc96a926357133cbb1,Closeness to cafes/restaurants,"10 min away,15 min away,20 min away,25 min away,30 min away",2,"","","",2022-01-27 17:16:23,10469
5eb1f6fc96a926357133cbb1,ma_choice_v3_real1,5eb1f6fc96a926357133cbb1,Quality of heat/AC system,"Very Bad,Bad,Moderate,Good,Very Good",2,"","","",2022-01-27 17:16:23,10470
5eb1f6fc96a926357133cbb1,ma_choice_v3_real1,5eb1f6fc96a926357133cbb1,Reputation of closest school,"Very Bad,Bad,Moderate,Good,Very Good",2,"","","",2022-01-27 17:16:23,10471
5eb1f6fc96a926357133cbb1,ma_choice_v3_real1,5eb1f6fc96a926357133cbb1,Closeness to parks,"10 min away,15 min away,20 min away,25 min away,30 min away",2,"","","",2022-01-27 17:16:23,10472
5eb1f6fc96a926357133cbb1,ma_choice_v3_real1,5eb1f6fc96a926357133cbb1,Year building was built,"",20,1950,2020,"",2022-01-27 17:16:23,10473
5eb1f6fc96a926357133cbb1,ma_choice_v3_real1,5eb1f6fc96a926357133cbb1,Washer/dryer in unit,"No,Yes",1,"","","",2022-01-27 17:16:23,10474
5eb1f6fc96a926357133cbb1,ma_choice_v3_real1,5eb1f6fc96a926357133cbb1,Size of yard,"",150,0,600, square feet,2022-01-27 17:16:23,10475
5eb1f6fc96a926357133cbb1,ma_choice_v3_real1,5eb1f6fc96a926357133cbb1,Size of home,"",200,600,1800, square feet,2022-01-27 17:16:23,10476
61552af1eebae76e5666aba0,ma_choice_v3_real1,61552af1eebae76e5666aba0,Closeness to cafes/restaurants,"10 min away,15 min away,20 min away,25 min away,30 min away",2,"","","",2022-01-27 17:30:29,10477
61552af1eebae76e5666aba0,ma_choice_v3_real1,61552af1eebae76e5666aba0,Closeness to parks,"10 min away,15 min away,20 min away,25 min away,30 min away",2,"","","",2022-01-27 17:30:29,10478
