subject,version,browser_event,trial,time,stamp,id
5eb1f6fc96a926357133cbb1,ma_choice_v3_real1,fullscreenenter,2,15756,2022-01-27 17:16:33,2747
5eb1f6fc96a926357133cbb1,ma_choice_v3_real1,blur,5,113447,2022-01-27 17:18:11,2748
5eb1f6fc96a926357133cbb1,ma_choice_v3_real1,focus,5,126484,2022-01-27 17:18:24,2749
5eb1f6fc96a926357133cbb1,ma_choice_v3_real1,blur,13,195454,2022-01-27 17:19:33,2750
5eb1f6fc96a926357133cbb1,ma_choice_v3_real1,focus,13,218222,2022-01-27 17:19:56,2751
5eb1f6fc96a926357133cbb1,ma_choice_v3_real1,blur,70,672264,2022-01-27 17:27:30,2752
5eb1f6fc96a926357133cbb1,ma_choice_v3_real1,focus,70,695385,2022-01-27 17:27:53,2753
5eb1f6fc96a926357133cbb1,ma_choice_v3_real1,blur,86,824088,2022-01-27 17:30:02,2754
5eb1f6fc96a926357133cbb1,ma_choice_v3_real1,focus,86,833053,2022-01-27 17:30:11,2755
61552af1eebae76e5666aba0,ma_choice_v3_real1,fullscreenenter,2,9785,2022-01-27 17:30:33,2756
5de6766e89d6b4000f71bc0d,ma_choice_v3_real1,fullscreenenter,2,65997,2022-01-27 17:33:24,2757
5eb1f6fc96a926357133cbb1,ma_choice_v3_real1,blur,116,1061384,2022-01-27 17:33:59,2758
5eb1f6fc96a926357133cbb1,ma_choice_v3_real1,focus,116,1109233,2022-01-27 17:34:47,2759
5ef8e0fc2ce3c6644665e347,ma_choice_v3_real1,blur,2,8878,2022-01-27 17:38:28,2760
5ef8e0fc2ce3c6644665e347,ma_choice_v3_real1,focus,2,9487,2022-01-27 17:38:29,2761
5ef8e0fc2ce3c6644665e347,ma_choice_v3_real1,fullscreenenter,2,10815,2022-01-27 17:38:30,2762
5eb1f6fc96a926357133cbb1,ma_choice_v3_real1,blur,224,1631494,2022-01-27 17:43:29,2763
5eb1f6fc96a926357133cbb1,ma_choice_v3_real1,focus,224,1649232,2022-01-27 17:43:47,2764
5eb1f6fc96a926357133cbb1,ma_choice_v3_real1,fullscreenexit,255,1900538,2022-01-27 17:47:58,2765
5eb1f6fc96a926357133cbb1,ma_choice_v3_real1,blur,255,1905816,2022-01-27 17:48:03,2766
60242bdb4097360ad464addc,ma_choice_v3_real1,fullscreenenter,2,11346,2022-01-27 17:48:10,2767
558af269fdf99b7dfef4d7bd,ma_choice_v3_real1,fullscreenenter,2,4867,2022-01-27 17:52:44,2768
596e1af7a09655000197d4bb,ma_choice_v3_real1,blur,1,3467,2022-01-27 17:53:26,2769
558af269fdf99b7dfef4d7bd,ma_choice_v3_real1,fullscreenexit,7,51071,2022-01-27 17:53:30,2770
596e1af7a09655000197d4bb,ma_choice_v3_real1,focus,1,21181,2022-01-27 17:53:44,2771
596e1af7a09655000197d4bb,ma_choice_v3_real1,fullscreenenter,2,23318,2022-01-27 17:53:46,2772
596e1af7a09655000197d4bb,ma_choice_v3_real1,blur,5,138617,2022-01-27 17:55:42,2773
596e1af7a09655000197d4bb,ma_choice_v3_real1,focus,5,151148,2022-01-27 17:55:54,2774
596e1af7a09655000197d4bb,ma_choice_v3_real1,blur,25,265806,2022-01-27 17:57:49,2775
596e1af7a09655000197d4bb,ma_choice_v3_real1,fullscreenexit,25,265795,2022-01-27 17:57:49,2776
596e1af7a09655000197d4bb,ma_choice_v3_real1,focus,25,270529,2022-01-27 17:57:54,2777
596e1af7a09655000197d4bb,ma_choice_v3_real1,blur,28,281910,2022-01-27 17:58:05,2778
596e1af7a09655000197d4bb,ma_choice_v3_real1,focus,28,292242,2022-01-27 17:58:15,2779
61552af1eebae76e5666aba0,ma_choice_v3_real1,blur,132,1729367,2022-01-27 17:59:13,2780
61552af1eebae76e5666aba0,ma_choice_v3_real1,focus,132,1731468,2022-01-27 17:59:15,2781
596e1af7a09655000197d4bb,ma_choice_v3_real1,blur,44,377980,2022-01-27 17:59:41,2782
596e1af7a09655000197d4bb,ma_choice_v3_real1,focus,44,384708,2022-01-27 17:59:48,2783
596e1af7a09655000197d4bb,ma_choice_v3_real1,blur,50,430305,2022-01-27 18:00:33,2784
596e1af7a09655000197d4bb,ma_choice_v3_real1,focus,50,441922,2022-01-27 18:00:45,2785
596e1af7a09655000197d4bb,ma_choice_v3_real1,blur,60,496416,2022-01-27 18:01:39,2786
596e1af7a09655000197d4bb,ma_choice_v3_real1,focus,60,508263,2022-01-27 18:01:51,2787
596e1af7a09655000197d4bb,ma_choice_v3_real1,blur,64,543492,2022-01-27 18:02:27,2788
596e1af7a09655000197d4bb,ma_choice_v3_real1,focus,64,550100,2022-01-27 18:02:33,2789
5e7fe0a46db6e86cd7c6b213,ma_choice_v3_real1,fullscreenenter,2,12572,2022-01-27 18:07:13,2790
596e1af7a09655000197d4bb,ma_choice_v3_real1,blur,118,833985,2022-01-27 18:07:17,2791
596e1af7a09655000197d4bb,ma_choice_v3_real1,focus,118,842713,2022-01-27 18:07:26,2792
596e1af7a09655000197d4bb,ma_choice_v3_real1,blur,118,843246,2022-01-27 18:07:26,2793
596e1af7a09655000197d4bb,ma_choice_v3_real1,focus,118,844001,2022-01-27 18:07:27,2794
606537639bc40e88e953c584,ma_choice_v3_real1,fullscreenenter,2,14221,2022-01-27 18:07:50,2795
60641f06b9c8e77f4605064a,ma_choice_v3_real1,fullscreenenter,2,13765,2022-01-27 18:08:17,2796
596e1af7a09655000197d4bb,ma_choice_v3_real1,blur,134,922619,2022-01-27 18:08:46,2797
596e1af7a09655000197d4bb,ma_choice_v3_real1,focus,134,930815,2022-01-27 18:08:54,2798
596e1af7a09655000197d4bb,ma_choice_v3_real1,blur,136,936677,2022-01-27 18:09:00,2799
596e1af7a09655000197d4bb,ma_choice_v3_real1,focus,136,938275,2022-01-27 18:09:01,2800
596e1af7a09655000197d4bb,ma_choice_v3_real1,blur,144,982114,2022-01-27 18:09:45,2801
596e1af7a09655000197d4bb,ma_choice_v3_real1,focus,144,987515,2022-01-27 18:09:51,2802
61002caab8bc99b527252504,ma_choice_v3_real1,fullscreenenter,2,7274,2022-01-27 18:10:56,2804
5c5219ba5acab700012601e2,ma_choice_v3_real1,fullscreenenter,2,25566,2022-01-27 18:11:47,2805
5a8599792a842c0001fcbacb,ma_choice_v3_real1,fullscreenenter,2,10357,2022-01-27 18:12:26,2809
5de0b69ba91be311cb773b0b,ma_choice_v3_real1,fullscreenenter,2,9443,2022-01-27 18:14:07,2812
5f888a84d0200d03067e17ed,ma_choice_v3_real1,blur,2,17773,2022-01-27 18:15:13,2814
5f888a84d0200d03067e17ed,ma_choice_v3_real1,focus,2,22343,2022-01-27 18:15:18,2815
5f888a84d0200d03067e17ed,ma_choice_v3_real1,fullscreenenter,2,23683,2022-01-27 18:15:19,2816
5ef8e0fc2ce3c6644665e347,ma_choice_v3_real1,fullscreenexit,255,2284659,2022-01-27 18:16:24,2820
568e7e33e3ef9e000da202a7,ma_choice_v3_real1,fullscreenenter,2,14656,2022-01-27 18:17:51,2823
5c8ec999bb6a3c00014acf5f,ma_choice_v3_real1,fullscreenenter,2,20001,2022-01-27 18:17:55,2824
596e1af7a09655000197d4bb,ma_choice_v3_real1,blur,252,1479704,2022-01-27 18:18:03,2825
596e1af7a09655000197d4bb,ma_choice_v3_real1,focus,252,1480989,2022-01-27 18:18:04,2826
61552af1eebae76e5666aba0,ma_choice_v3_real1,fullscreenexit,255,2864684,2022-01-27 18:18:08,2827
61552af1eebae76e5666aba0,ma_choice_v3_real1,blur,255,2867143,2022-01-27 18:18:11,2828
61552af1eebae76e5666aba0,ma_choice_v3_real1,blur,255,2870915,2022-01-27 18:18:15,2829
596e1af7a09655000197d4bb,ma_choice_v3_real1,blur,255,1493289,2022-01-27 18:18:16,2830
5b5a822e1ad8270001c4f28d,ma_choice_v3_real1,fullscreenenter,2,23743,2022-01-27 18:18:39,2831
