subject,version,assignmentId,signed_attributes,signed_weights,full_or_lex,confidence,strategy,metastrategy,consistency1,consistency2,appropriateness,attention,choice_exp,choice_domain,meditation_exp1,meditation_exp2,meditation_exp3,decisionstyle_responses,bidr_responses,acs_responses,mindfulness_responses,sris_responses,maia_responses,icar_responses,icar_correct,icar_num_correct,scale_rts,question_rts,attention_check,gender,age,race,edu,income,nativeEng,feedback,instructions_times,total_time,stamp,id
5eb1f6fc96a926357133cbb1,ma_choice_v3_real1,5eb1f6fc96a926357133cbb1,1,2,2,100,I had about 3 or 4 criteria that I based my decisions on. Natural light and washer/dryer were the most important but I also weighed the importance of those with the distance to parks and restaurants.,I knew what was most important to me when making my decisions.,87,63,74,100,5-Jan,33,Yes,No,"Less than once per week,5-15 minutes per day,0-1 years",,,,,,,,,,,"{""lex_strat"":24897.29999998212,""weight_strat"":22385.69999998808,""attribute_strat"":17276.80000001192,""consistency1"":8210.200000017881,""appropriateness"":18544.90000000596,""consistency2"":6497.899999976158,""confidence"":7679.5999999940395,""strategy"":49459.90000000596,""metastrategy"":27385.40000000596,""attention"":8467.600000023842,""choice_domain"":4696.5999999940395,""choice_exp"":5000.699999988079}",I will complete this study with my full attention,Woman,29,"[""White""]",4 year degree,"$15,000 - $25,000",Yes,I have nothing to add. The study was clear and took an appropriate amount of time.,"[4074,2633.899999976158,4957,7859.700000017881,17677.59999999404,47948.80000001192,4121.299999982119,2132.5,4472.300000011921,4161.799999982119,1704.300000011921,3825.800000011921,3230.300000011921,5758.4000000059605,1477.9000000059605,1492.800000011921,7354.0999999940395,5753,12277.09999999404,1222.7000000178814]",1887582,1/27/22 17:47,172
5ef8e0fc2ce3c6644665e347,ma_choice_v3_real1,5ef8e0fc2ce3c6644665e347,2,2,2,81,"I preferred houses that had built in washing/drying machines, but would choose the other house if it had a lot of bad features. Bad A/C, school and long travel times. Had to figure out if it was worth it to have the machines when everything else was bad.",I tried to keep my choices consistent which made it easier for me to answer the questions in Section 2.,75,88,82,72,5-Jan,32,No,,,,,,,,,,,,,"{""lex_strat"":53105,""weight_strat"":16354,""attribute_strat"":44173,""consistency1"":15717,""appropriateness"":20595,""consistency2"":13543,""confidence"":10731,""strategy"":201099,""metastrategy"":111255,""attention"":7924,""choice_domain"":6887,""choice_exp"":8246}",I will complete this study with my full attention.,Man,25,"[""Hispanic, Latinx, or Spanish origin""]",Some college,"Under $5,000",Yes,"The question about Section 2 answers sounded a bit weird. ""How did you know the answers for the questions you were asked?"".","[2369,2540,5906,43432,10758,15561,1893,1527,5369,2940,1679,3688,5816,9924,1688,1227,8838,10929,36624,1588]",2273057,1/27/22 18:16,174
61552af1eebae76e5666aba0,ma_choice_v3_real1,61552af1eebae76e5666aba0,1,2,2,75,"I first considered noise pollution, as it is within your home you seek quiet. Then I looked at public transportation and/or school depending on where in the list it fell. After considering that I also looked at heat/AC as living comfortably is important. If there was no washer/dryer in the unit I looked back at public transportation distance in case of need for travel with laundry or to go out. The remainder fell into their places.",I selected the best over the worst in section 2 compared with section 1 where I considered many factors.,74,75,75,99,0,33,Yes,No,"About once per week,5-15 minutes per day,0-1 years",,,,,,,,,,,"{""lex_strat"":17256.79999998212,""weight_strat"":10489.09999999404,""attribute_strat"":28507.40000000596,""consistency1"":8832.700000017881,""appropriateness"":14998.5,""consistency2"":16717.40000000596,""confidence"":8778,""strategy"":112361.19999998808,""metastrategy"":30541.29999998212,""attention"":5142.199999988079,""choice_domain"":5825.300000011921,""choice_exp"":3291.199999988079}",I will complete this study with my full attention,Some other way,31,"[""White"",""American Indian or Alaska Native""]",4 year degree,"$65,000 - $80,000",Yes,NA,"[4219.300000011921,1860.0999999940395,4959.9000000059605,38935.29999998212,9943.5,10298.800000011921,2649.0999999940395,1272.199999988079,4108.9000000059605,3922.7000000178814,1963.800000011921,4011.5999999940395,6410.399999976158,13191.700000017881,1133.699999988079,1429.5,5784.5,10618.300000011921,10802.40000000596,1132.7999999821186]",2856752,1/27/22 18:18,176
596e1af7a09655000197d4bb,ma_choice_v3_real1,596e1af7a09655000197d4bb,2,2,2,99,"my main focus was on AC/Heating system and presence of a washer/dryer.  I expect to spend the most time in my home, so I want to be comfortable and not have to leave to wash/dry items.  i also care about space and yard space for my dogs.",pretty straight forward.  i made selections based on what I valued the most vs. what didn't matter as much.,84,87,85,100,0,86,Yes,Yes,"2-4 times per week,15-30 minutes per day,3-5 years",,,,,,,,,,,"{""lex_strat"":11136.5,""weight_strat"":7667.099999904633,""attribute_strat"":18458.400000095367,""consistency1"":4916.799999952316,""appropriateness"":13634.899999856949,""consistency2"":6113.700000047684,""confidence"":4985,""strategy"":49055.5,""metastrategy"":26277.60000014305,""attention"":3326.800000190735,""choice_domain"":5128.599999904633,""choice_exp"":3833.800000190735}",I will complete this study with my full attention.,Man,36,"[""White""]",4 year degree,"Over $100,000",Yes,thanks!  i think i finished in about 30 minutes,"[3478.7000000476837,6426,3510.600000143051,5473.299999952316,7974.299999952316,76172.70000004768,1416.8999998569489,1086.9000000953674,1813.9000000953674,1820,1428.8999998569489,3478.7000000476837,2183.7000000476837,4291.299999952316,1064.4000000953674,1465.5,6294.5,3047,6710.700000047684,1041.7999999523163]",1483091,1/27/22 18:18,177
5de6766e89d6b4000f71bc0d,ma_choice_v3_real1,5de6766e89d6b4000f71bc0d,1,2,2,50,"What ever home had at least two out three of the features that I would want, that's what I went with..","I remembered 1. I want lot's of light, 2. I want a good functioning HVAC system, and 3. Maybe an in unit washer and dryer.... That's what I focussed on..",86,75,63,87,5-Jan,35,No,,,,,,,,,,,,,"{""lex_strat"":106469.70000001788,""weight_strat"":33463.80000001192,""attribute_strat"":65815.89999997616,""consistency1"":15362.5,""appropriateness"":30909.09999999404,""consistency2"":20081.80000001192,""confidence"":12397.59999999404,""strategy"":104183.59999999404,""metastrategy"":201359.70000001788,""attention"":8632,""choice_domain"":12001.199999988079,""choice_exp"":13799.300000011921}",I will complete this study with my full attention.,Woman,47,"[""White"",""Black or African American""]",Some college,"$35,000 - $50,000",Yes,n/a,"[6330.799999982119,3638.600000023842,6019.0999999940395,43295.5,17194,20264.29999998212,5387.800000011921,3962.9000000059605,10514.699999988079,9014.09999999404,2952.0999999940395,5744.9000000059605,6625.0999999940395,9713.700000017881,1960.9000000059605,2498.4000000059605,11859.5,84756.09999999404,33669.90000000596,1836.0999999940395]",3110826,1/27/22 18:25,178
60242bdb4097360ad464addc,ma_choice_v3_real1,60242bdb4097360ad464addc,,,1,92,"I had one top option in mind when choosing between the two homes. I did read through all of the options on each trial, and had preferences on which home I would pick, but I generally always went with the home that had a better school reputation. If the home had other things that I liked as well, I considered those to be a bonus. ","I thought back to how I was making my choices between the homes in each trial, and which factors I liked and considered to be a bonus in the home. ",94,94,95,100,0,66,Yes,No,"About once per week,5-15 minutes per day,0-1 years",,,,,,,,,,,"{""lex_strat"":23416,""consistency1"":10029.300000000745,""appropriateness"":12232.599999999627,""consistency2"":7734.0999999996275,""confidence"":8042.299999999814,""strategy"":125082.10000000056,""metastrategy"":29512.39999999944,""attention"":5378,""choice_domain"":10358,""choice_exp"":3033.600000000559}",I will complete this study with my full attention.,Man,34,"[""White""]",Postgraduate/Professional degree/other,"$80,000 - $100,000",Yes,Nothing was too confusing and everything seemed to load well for me,"[4544.200000000186,4746.200000000186,12912.200000000186,15703.199999999255,9814.200000000186,10418.400000000373,4373.5999999996275,2742.7000000001863,5263.5999999996275,6271.799999999814,1937.5,2946.9000000003725,9023.700000000186,1549.2999999998137,5492,6964.399999999441,1338.5,1555.0999999996275,4406.200000000186,5413.799999999814,8654.200000000186,1449.2000000001863]",2334806,1/27/22 18:26,179
568e7e33e3ef9e000da202a7,ma_choice_v3_real1,568e7e33e3ef9e000da202a7,2,2,2,75,I was more interested in how the heating and cooling was,What was important to me figuring out what was about the house,75,74,62,100,10-May,32,No,,,,,,,,,,,,,"{""lex_strat"":25281,""weight_strat"":7907.099999904633,""attribute_strat"":11444.099999904633,""consistency1"":7937.600000143051,""appropriateness"":10347.700000047684,""consistency2"":6474.700000047684,""confidence"":4260.5,""strategy"":19464.5,""metastrategy"":27208.299999952316,""attention"":5839.600000143051,""choice_domain"":6210.5,""choice_exp"":5577.600000143051}",I will complete this study with my full attention.,Woman,56,"[""White""]",Some college,"$50,000 - $65,000",Yes,I was fine,"[2500.5,2158.2999999523163,3733.300000190735,5678.699999809265,9235.600000143051,7200.099999904633,2297.600000143051,2616.2000000476837,3640.7999999523163,2079.899999856949,2522.7999999523163,3607.600000143051,2839.699999809265,3101.7000000476837,1270.2999999523163,1610.7999999523163,2735.100000143051,2010.1999998092651,5174.600000143051,1557.2999999523163]",1240045,1/27/22 18:38,180
5e7fe0a46db6e86cd7c6b213,ma_choice_v3_real1,5e7fe0a46db6e86cd7c6b213,1,2,2,94,"I don't drive, so I need public transit, and I don't want to have to walk 30 minutes in snow and bad weather to get to my transportation.  Other factors I considered were heating and cooling, because I don't want to have to pay more in utilities for less benefit, and I've lived in apartments with awful heating and no airflow in the summer.  The other factor I considered was noise pollution.  I'm sensitive to sound, more noise from other people, so if I could, I'd prefer a place that's close to public transit and quiet.  If the HVAC was bad, so long as the other two choices were good, I'd take the bad HVAC, however. If all choices were really bad, I'd look at washer/dryer in the unit, because I absolutely do not want to drag my laundry by foot more than 10 minutes.","I ranked the things I needed in a place, and adjusted the others accordingly.  I also thought about the things I noticed first in the listing.",83,100,96,92,0,100,Yes,No,"Daily or almost daily,15-30 minutes per day,5+ years",,,,,,,,,,,"{""lex_strat"":17624,""weight_strat"":9347,""attribute_strat"":15245,""consistency1"":7722,""appropriateness"":14981,""consistency2"":5003,""confidence"":6702,""strategy"":146461,""metastrategy"":52285,""attention"":13033,""choice_domain"":4747,""choice_exp"":3053}",I will complete this study with my full attention.,Woman,47,"[""White""]",Postgraduate/Professional degree/other,"Under $5,000",Yes,It felt like it was shorter than it should've been?  It was interesting.,"[3953,2985,4023,21316,14325,10165,2851,1611,3829,4045,2177,12707,3381,4663,1552,1641,6408,5259,8720,1313]",2056533,1/27/22 18:41,181
5a8599792a842c0001fcbacb,ma_choice_v3_real1,5a8599792a842c0001fcbacb,2,2,2,87,School were the most important and then size of the house and the yard,Thought back on how UI made choices,75,75,75,87,10-May,66,No,,,,,,,,,,,,,"{""lex_strat"":8906.600000023842,""weight_strat"":8276.800000071526,""attribute_strat"":17918.600000023842,""consistency1"":5584.399999976158,""appropriateness"":7614,""consistency2"":3221.399999976158,""confidence"":10503.800000071526,""strategy"":23235.200000047684,""metastrategy"":18815,""attention"":6178.800000071526,""choice_domain"":3696.399999976158,""choice_exp"":3473.7999999523163}",I will complete this study with my full attention,Man,47,"[""White""]",Postgraduate/Professional degree/other,"$80,000 - $100,000",Yes,Everything was good,"[3038.5,1214.1000000238419,3735.5999999046326,12059.700000047684,9022.600000023842,4421.5,2666.7999999523163,1465.8000000715256,5940.099999904633,2396.9000000953674,2608.2000000476837,1686.1999999284744,2382.100000023842,10327,1337.6999999284744,1477.4000000953674,1427.6999999284744,2058.8000000715256,17763.899999976158,1687.7999999523163]",2117763,1/27/22 18:47,182
603fa7d057d382087d66d1c2,ma_choice_v3_real1,603fa7d057d382087d66d1c2,2,2,2,100,I based my decisions off of several fators but I had two main factors which were closeness to cafes and restaurants and amount of natural light. I also based my decisions off of repuatation of schools and size of the house. It was hard to make a choice in some of them but I went with my top preferences.,i chose my top preferences and went mostly off of those but definitely considered at least 4 factors before choosing.,100,75,100,100,0,69,No,,,,,,,,,,,,,"{""lex_strat"":26512.700000000186,""weight_strat"":9011.299999999814,""attribute_strat"":13242.599999999627,""consistency1"":8632.299999999814,""appropriateness"":15974.299999999814,""consistency2"":6502.299999999814,""confidence"":4225.700000000186,""strategy"":114667,""metastrategy"":64869.5,""attention"":4833.200000000186,""choice_domain"":5596.5,""choice_exp"":4499.0999999996275}",I will complete this study with my full attention.,Woman,31,"[""White""]",High school,"$25,000 - $35,000",Yes,nothing confusing and took my time on it i think it took about 45 minutes?,"[4559.59999999986,2526.1999999999534,5871.800000000047,12049.90000000014,15021.799999999814,12490.700000000186,2753.600000000093,1584,5958.5,2207.5,1896.2999999998137,7223.899999999907,3824.899999999907,2437.600000000093,1334.3999999999069,1594.9000000003725,20981,4198.299999999814,10865.799999999814,1566]",1788562,1/27/22 18:52,183
