"Closeness to parks","Amount of traffic","Closeness to cafes/restaurants","Washer/dryer in unit","Size of yard","Closeness to public transportation","Amount of natural light","Quality of heat/AC system","Year building was built","Reputation of closest school","Noise pollution","Size of home"
1,3,3,2,50,1,4,2,1987,4,4,1800
4,3,5,1,450,2,4,5,1996,5,2,1300
2,2,2,1,350,1,4,2,1989,3,1,1200
3,1,2,1,300,4,4,5,2015,5,5,800
4,4,5,2,350,2,4,3,1978,2,1,1800
4,2,4,1,150,3,4,3,1953,4,3,800
3,1,2,1,200,1,4,3,1976,2,2,700
3,1,1,2,150,3,4,1,2003,3,3,1700
1,4,4,1,50,1,3,4,1965,3,4,1200
3,4,2,2,400,2,4,3,1997,2,3,1500
2,1,3,1,600,5,3,2,1984,1,2,1500
4,3,5,1,450,3,2,3,2013,3,4,1100
1,4,2,2,400,4,1,2,2015,3,5,1400
1,2,1,1,550,4,1,5,1957,3,5,1400
5,4,3,1,100,3,4,3,1987,4,3,1400
1,1,1,1,100,1,1,2,1954,2,1,1000
2,4,5,2,200,4,3,5,1970,2,3,700
3,2,3,2,100,3,2,1,1950,2,4,900
4,4,2,1,50,2,1,2,2007,3,3,1100
2,2,3,1,250,2,2,1,2017,4,1,900
3,4,3,2,400,3,2,5,2010,4,4,1400
4,4,3,2,50,4,1,2,1953,2,4,1300
2,1,3,1,350,1,3,4,1975,4,3,800
3,2,4,1,450,3,3,2,2019,1,2,1300
5,2,4,1,300,3,2,1,1977,2,4,1000
1,2,5,2,200,2,2,1,1950,3,5,1200
5,2,2,1,450,2,3,4,2014,3,2,1400
2,1,3,2,50,4,4,2,1973,4,5,800
2,2,1,1,500,3,1,1,1993,1,5,1100
3,4,3,1,600,4,4,4,1962,4,5,800
4,3,4,1,50,4,2,3,2000,4,4,700
3,3,4,2,300,4,4,3,2008,5,4,600
1,2,1,2,300,5,4,2,1988,1,2,900
1,1,2,2,50,2,4,4,2012,3,4,1400
5,3,2,1,500,1,3,4,2014,5,1,1400
1,1,1,1,100,1,2,4,1991,1,3,1500
5,2,1,2,500,1,4,3,1978,2,5,800
5,4,1,2,350,2,3,4,1971,1,2,1500
2,1,1,1,500,3,1,4,1999,1,3,600
5,3,3,2,500,5,3,1,1966,3,5,1500
2,2,3,2,150,2,1,4,1968,5,4,600
2,4,5,1,600,5,4,1,2009,1,2,1500
4,4,2,2,150,5,1,3,1979,3,1,1200
1,1,2,1,200,1,4,4,2002,2,5,1700
5,2,1,1,550,1,1,1,2017,3,5,1600
1,4,5,1,300,1,3,5,1991,3,1,800
3,2,3,1,250,2,2,4,1965,2,1,900
2,2,5,1,150,2,2,4,1957,2,3,700
4,4,3,1,300,3,4,5,2017,2,5,1300
3,3,3,1,600,5,4,4,2019,5,1,900
3,4,3,1,150,1,3,5,1987,3,1,1700
5,3,1,2,500,1,2,3,2019,5,1,1400
3,3,1,1,600,1,3,4,1950,4,2,1700
1,2,5,1,50,1,2,3,2015,5,3,1700
3,2,2,1,150,3,4,5,2015,5,1,1500
4,4,1,1,250,3,4,3,1994,5,5,1600
1,4,3,1,100,4,4,4,1950,4,3,1600
4,4,1,2,200,2,2,3,2003,5,1,1500
2,2,1,1,350,3,1,1,1981,1,4,1700
3,3,3,2,500,2,4,2,1967,4,4,1600
2,3,3,1,300,5,3,1,1997,2,3,1000
2,4,4,1,50,3,3,4,1988,2,4,1100
4,2,1,1,100,5,1,5,1998,2,4,1800
5,2,5,2,150,1,1,1,1998,5,5,1600
1,2,1,2,400,2,2,1,1991,1,2,800
3,4,4,2,450,3,4,5,1995,5,2,700
1,4,5,2,150,2,3,1,2010,4,3,700
1,3,5,2,350,5,3,3,2008,1,5,900
2,3,5,2,400,1,4,5,1996,3,4,1600
2,4,5,2,0,1,4,5,2003,4,5,1200
5,1,3,1,500,3,1,4,2009,2,3,1200
2,2,5,1,50,2,1,5,2002,3,5,800
1,1,5,2,200,5,4,5,1958,1,4,900
4,4,3,2,250,4,1,2,1977,2,2,1400
1,2,4,1,500,5,3,3,1967,4,5,1700
