subject,version,assignmentId,trial,attribute,rating,least_preferred,most_preferred,type,rt,rt2,full_or_lex,signed_weights,original_or_followup,stamp,id
61372727e083e6cd1c827f81,ma_choice_v4_pilot4,61372727e083e6cd1c827f81,7,Amount of traffic,25,,,wad_att_rating,4758,,,,,2022-06-06 20:09:52,16472
61372727e083e6cd1c827f81,ma_choice_v4_pilot4,61372727e083e6cd1c827f81,0,Closeness to parks,24,,,wad_att_rating,3766,,,,,2022-06-06 20:09:56,16473
61372727e083e6cd1c827f81,ma_choice_v4_pilot4,61372727e083e6cd1c827f81,1,Noise pollution,25,,,wad_att_rating,2454,,,,,2022-06-06 20:09:59,16474
61372727e083e6cd1c827f81,ma_choice_v4_pilot4,61372727e083e6cd1c827f81,8,Size of home,12,,,wad_att_rating,2270,,,,,2022-06-06 20:10:01,16475
61372727e083e6cd1c827f81,ma_choice_v4_pilot4,61372727e083e6cd1c827f81,2,Reputation of closest school,0,,,wad_att_rating,2902,,,,,2022-06-06 20:10:04,16476
61372727e083e6cd1c827f81,ma_choice_v4_pilot4,61372727e083e6cd1c827f81,3,Year building was built,0,,,wad_att_rating,2054,,,,,2022-06-06 20:10:06,16477
61372727e083e6cd1c827f81,ma_choice_v4_pilot4,61372727e083e6cd1c827f81,4,Size of yard,11,,,wad_att_rating,2886,,,,,2022-06-06 20:10:09,16478
61372727e083e6cd1c827f81,ma_choice_v4_pilot4,61372727e083e6cd1c827f81,6,Quality of heat/AC system,37,,,wad_att_rating,3446,,,,,2022-06-06 20:10:12,16479
5cfd4b59f7fd330016227259,ma_choice_v4_pilot4,5cfd4b59f7fd330016227259,3,Year building was built,37,,,wad_att_rating,9148,,,,,2022-06-06 20:10:15,16480
61372727e083e6cd1c827f81,ma_choice_v4_pilot4,61372727e083e6cd1c827f81,5,Quality of kitchen,100,,,wad_att_rating,3069,,,,,2022-06-06 20:10:15,16481
61372727e083e6cd1c827f81,ma_choice_v4_pilot4,61372727e083e6cd1c827f81,0,Quality of kitchen,1,,,ew_att_rating,7755,,,,,2022-06-06 20:10:26,16482
5cfd4b59f7fd330016227259,ma_choice_v4_pilot4,5cfd4b59f7fd330016227259,2,Reputation of closest school,11,,,wad_att_rating,11483,,,,,2022-06-06 20:10:27,16483
61372727e083e6cd1c827f81,ma_choice_v4_pilot4,61372727e083e6cd1c827f81,0,Quality of kitchen,1,,,lex_att_rating,5542,,,,,2022-06-06 20:10:34,16484
5cfd4b59f7fd330016227259,ma_choice_v4_pilot4,5cfd4b59f7fd330016227259,0,Closeness to parks,1,,,wad_att_rating,12061,,,,,2022-06-06 20:10:39,16485
5cfd4b59f7fd330016227259,ma_choice_v4_pilot4,5cfd4b59f7fd330016227259,4,Size of yard,87,,,wad_att_rating,8444,,,,,2022-06-06 20:10:47,16486
5cfd4b59f7fd330016227259,ma_choice_v4_pilot4,5cfd4b59f7fd330016227259,1,Noise pollution,80,,,wad_att_rating,4973,,,,,2022-06-06 20:10:52,16487
5cfd4b59f7fd330016227259,ma_choice_v4_pilot4,5cfd4b59f7fd330016227259,7,Amount of traffic,83,,,wad_att_rating,4484,,,,,2022-06-06 20:10:57,16488
5cfd4b59f7fd330016227259,ma_choice_v4_pilot4,5cfd4b59f7fd330016227259,6,Quality of heat/AC system,50,,,wad_att_rating,4670,,,,,2022-06-06 20:11:01,16489
5cfd4b59f7fd330016227259,ma_choice_v4_pilot4,5cfd4b59f7fd330016227259,8,Size of home,62,,,wad_att_rating,5138,,,,,2022-06-06 20:11:06,16490
5cfd4b59f7fd330016227259,ma_choice_v4_pilot4,5cfd4b59f7fd330016227259,5,Quality of kitchen,40,,,wad_att_rating,5205,,,,,2022-06-06 20:11:12,16491
5cfd4b59f7fd330016227259,ma_choice_v4_pilot4,5cfd4b59f7fd330016227259,0,Noise pollution,1,,,ew_att_rating,12075,,,,,2022-06-06 20:11:35,16492
5cfd4b59f7fd330016227259,ma_choice_v4_pilot4,5cfd4b59f7fd330016227259,0,Size of yard,1,,,ew_att_rating,12075,,,,,2022-06-06 20:11:35,16493
5cfd4b59f7fd330016227259,ma_choice_v4_pilot4,5cfd4b59f7fd330016227259,0,Size of home,1,,,ew_att_rating,12075,,,,,2022-06-06 20:11:35,16494
5cfd4b59f7fd330016227259,ma_choice_v4_pilot4,5cfd4b59f7fd330016227259,0,Amount of traffic,1,,,ew_att_rating,12075,,,,,2022-06-06 20:11:35,16495
5cfd4b59f7fd330016227259,ma_choice_v4_pilot4,5cfd4b59f7fd330016227259,0,Size of yard,1,,,lex_att_rating,5371,,,,,2022-06-06 20:11:48,16496
61372727e083e6cd1c827f81,ma_choice_v4_pilot4,61372727e083e6cd1c827f81,7,Amount of traffic,-1,Very Little,A Lot,direction,3942,,,,,2022-06-06 20:14:09,16497
61372727e083e6cd1c827f81,ma_choice_v4_pilot4,61372727e083e6cd1c827f81,1,Noise pollution,-1,Very Low,Very High,direction,1942,,,,,2022-06-06 20:14:13,16498
61372727e083e6cd1c827f81,ma_choice_v4_pilot4,61372727e083e6cd1c827f81,0,Closeness to parks,-1,20 min away,20 min away,direction,1902,,,,,2022-06-06 20:14:20,16499
61372727e083e6cd1c827f81,ma_choice_v4_pilot4,61372727e083e6cd1c827f81,8,Size of home,-1,1200 square feet,600 square feet,direction,1663,,,,,2022-06-06 20:14:25,16500
61372727e083e6cd1c827f81,ma_choice_v4_pilot4,61372727e083e6cd1c827f81,5,Quality of kitchen,-1,Very Good,Very Bad,direction,1502,,,,,2022-06-06 20:14:32,16501
61372727e083e6cd1c827f81,ma_choice_v4_pilot4,61372727e083e6cd1c827f81,4,Size of yard,-1,600 square feet,0 square feet,direction,1479,,,,,2022-06-06 20:14:36,16502
61372727e083e6cd1c827f81,ma_choice_v4_pilot4,61372727e083e6cd1c827f81,2,Reputation of closest school,-1,Very Good,Very Bad,direction,1270,,,,,2022-06-06 20:14:40,16503
61372727e083e6cd1c827f81,ma_choice_v4_pilot4,61372727e083e6cd1c827f81,3,Year building was built,-1,2020,1950,direction,1695,,,,,2022-06-06 20:14:44,16504
61372727e083e6cd1c827f81,ma_choice_v4_pilot4,61372727e083e6cd1c827f81,6,Quality of heat/AC system,-1,Very Good,Very Bad,direction,1406,,,,,2022-06-06 20:14:48,16505
6111e37fe81d1932ae8de5e8,ma_choice_v4_pilot4,6111e37fe81d1932ae8de5e8,0,Closeness to parks,11,,,wad_att_rating,12367,,,,,2022-06-06 20:19:29,16506
6111e37fe81d1932ae8de5e8,ma_choice_v4_pilot4,6111e37fe81d1932ae8de5e8,7,Amount of traffic,25,,,wad_att_rating,11076,,,,,2022-06-06 20:19:40,16507
6111e37fe81d1932ae8de5e8,ma_choice_v4_pilot4,6111e37fe81d1932ae8de5e8,4,Size of yard,47,,,wad_att_rating,5688,,,,,2022-06-06 20:19:46,16508
6111e37fe81d1932ae8de5e8,ma_choice_v4_pilot4,6111e37fe81d1932ae8de5e8,5,Quality of kitchen,86,,,wad_att_rating,4078,,,,,2022-06-06 20:19:50,16509
6111e37fe81d1932ae8de5e8,ma_choice_v4_pilot4,6111e37fe81d1932ae8de5e8,2,Reputation of closest school,89,,,wad_att_rating,3861,,,,,2022-06-06 20:19:54,16510
6111e37fe81d1932ae8de5e8,ma_choice_v4_pilot4,6111e37fe81d1932ae8de5e8,6,Quality of heat/AC system,76,,,wad_att_rating,12171,,,,,2022-06-06 20:20:06,16511
6111e37fe81d1932ae8de5e8,ma_choice_v4_pilot4,6111e37fe81d1932ae8de5e8,3,Year building was built,24,,,wad_att_rating,3487,,,,,2022-06-06 20:20:10,16512
5cfd4b59f7fd330016227259,ma_choice_v4_pilot4,5cfd4b59f7fd330016227259,2,Reputation of closest school,-1,Good,Very Bad,direction,6565,,,,,2022-06-06 20:20:12,16513
6111e37fe81d1932ae8de5e8,ma_choice_v4_pilot4,6111e37fe81d1932ae8de5e8,8,Size of home,51,,,wad_att_rating,3387,,,,,2022-06-06 20:20:13,16514
6111e37fe81d1932ae8de5e8,ma_choice_v4_pilot4,6111e37fe81d1932ae8de5e8,1,Noise pollution,11,,,wad_att_rating,3432,,,,,2022-06-06 20:20:16,16515
5cfd4b59f7fd330016227259,ma_choice_v4_pilot4,5cfd4b59f7fd330016227259,5,Quality of kitchen,-1,Good,Very Bad,direction,3724,,,,,2022-06-06 20:20:24,16516
5cfd4b59f7fd330016227259,ma_choice_v4_pilot4,5cfd4b59f7fd330016227259,4,Size of yard,-1,600 square feet,0 square feet,direction,4775,,,,,2022-06-06 20:20:34,16517
6111e37fe81d1932ae8de5e8,ma_choice_v4_pilot4,6111e37fe81d1932ae8de5e8,0,Size of yard,1,,,ew_att_rating,12017,,,,,2022-06-06 20:20:38,16518
