subject,version,browser_event,trial,time,stamp,id
5f5f039252a9217cad40cc18,ma_choice_v4_movies_pilot3,fullscreenenter,2,33258,2022-06-24 17:50:24,31225
62b5e1d73e3c296905ba2738,ma_choice_v4_movies_pilot3,fullscreenenter,2,6747,2022-06-24 17:56:21,31226
62b5e1d73e3c296905ba2738,ma_choice_v4_movies_pilot3,blur,3,13655,2022-06-24 17:56:27,31227
62b5e1d73e3c296905ba2738,ma_choice_v4_movies_pilot3,focus,3,13656,2022-06-24 17:56:27,31228
62b5e1d73e3c296905ba2738,ma_choice_v4_movies_pilot3,fullscreenexit,3,13663,2022-06-24 17:56:27,31229
6100642b95c4e149c6e44c38,ma_choice_v4_movies_pilot3,fullscreenenter,2,7260,2022-06-24 18:01:31,31239
62b5e1d73e3c296905ba2738,ma_choice_v4_movies_pilot3,blur,108,852645,2022-06-24 18:10:26,31250
62b5e1d73e3c296905ba2738,ma_choice_v4_movies_pilot3,focus,108,855989,2022-06-24 18:10:30,31251
6103907e48194088cd8e0b05,ma_choice_v4_movies_pilot3,fullscreenenter,2,20225,2022-06-24 18:13:29,31255
5d3b9f531850400001d2bac9,ma_choice_v4_movies_pilot3,fullscreenenter,2,42943,2022-06-24 18:21:12,31261
62b4a68f5a0b656aa7a07891,ma_choice_v4_movies_pilot3,fullscreenenter,2,11257,2022-06-24 18:22:43,31267
628b8f6a7a0084a4b2e1a007,ma_choice_v4_movies_pilot3,fullscreenenter,2,15425,2022-06-24 18:22:54,31268
610815596499e1aa19350986,ma_choice_v4_movies_pilot3,fullscreenenter,2,8231,2022-06-24 18:25:35,31271
6286583a1066d3c3bccb9e8e,ma_choice_v4_movies_pilot3,blur,1,19541,2022-06-24 18:29:24,31275
6286583a1066d3c3bccb9e8e,ma_choice_v4_movies_pilot3,focus,1,22725,2022-06-24 18:29:27,31276
6286583a1066d3c3bccb9e8e,ma_choice_v4_movies_pilot3,focus,1,22723,2022-06-24 18:29:27,31277
62b5e825a5e8616bde25741d,ma_choice_v4_movies_pilot3,fullscreenenter,2,32305,2022-06-24 18:32:53,31278
6286583a1066d3c3bccb9e8e,ma_choice_v4_movies_pilot3,blur,26,335167,2022-06-24 18:34:39,31279
5f5f039252a9217cad40cc18,ma_choice_v4_movies_pilot3,blur,288,2900064,2022-06-24 18:38:11,31281
5f5f039252a9217cad40cc18,ma_choice_v4_movies_pilot3,focus,288,2900277,2022-06-24 18:38:11,31282
6100642b95c4e149c6e44c38,ma_choice_v4_movies_pilot3,blur,306,2372888,2022-06-24 18:40:57,31283
55a55bd7fdf99b790558627c,ma_choice_v4_movies_pilot3,fullscreenenter,2,16487,2022-06-24 18:41:35,31284
5f5f039252a9217cad40cc18,ma_choice_v4_movies_pilot3,blur,306,3123680,2022-06-24 18:41:55,31285
62b5e1d73e3c296905ba2738,ma_choice_v4_movies_pilot3,blur,306,2777345,2022-06-24 18:42:31,31286
62b5e1d73e3c296905ba2738,ma_choice_v4_movies_pilot3,focus,306,2781519,2022-06-24 18:42:35,31287
6100642b95c4e149c6e44c38,ma_choice_v4_movies_pilot3,focus,306,2473723,2022-06-24 18:42:38,31288
5f5f039252a9217cad40cc18,ma_choice_v4_movies_pilot3,focus,306,3247423,2022-06-24 18:43:59,31289
55a55bd7fdf99b790558627c,ma_choice_v4_movies_pilot3,blur,26,276369,2022-06-24 18:45:55,31290
62b5e1d73e3c296905ba2738,ma_choice_v4_movies_pilot3,blur,312,2994027,2022-06-24 18:46:08,31291
62b5e1d73e3c296905ba2738,ma_choice_v4_movies_pilot3,blur,312,2995592,2022-06-24 18:46:09,31292
5f5f039252a9217cad40cc18,ma_choice_v4_movies_pilot3,fullscreenexit,312,3380854,2022-06-24 18:46:12,31293
55a55bd7fdf99b790558627c,ma_choice_v4_movies_pilot3,focus,26,304287,2022-06-24 18:46:22,31294
6100642b95c4e149c6e44c38,ma_choice_v4_movies_pilot3,fullscreenexit,312,2726725,2022-06-24 18:46:51,31295
6100642b95c4e149c6e44c38,ma_choice_v4_movies_pilot3,blur,312,2732168,2022-06-24 18:46:56,31296
6296d0ae1efe1220cc0e91f4,ma_choice_v4_movies_pilot3,fullscreenenter,2,32242,2022-06-24 18:48:35,31297
5d63275f9b22da000117b107,ma_choice_v4_movies_pilot3,fullscreenenter,2,28576,2022-06-24 18:48:47,31298
I will complete this study with my full attention,ma_choice_v4_movies_pilot3,blur,1,10260,2022-06-24 18:49:00,31299
5a2adf6a8e00a000019864fb,ma_choice_v4_movies_pilot3,fullscreenenter,2,13436,2022-06-24 18:49:05,31300
6276044d01f3dab873d5b0a5,ma_choice_v4_movies_pilot3,fullscreenenter,2,21207,2022-06-24 18:49:09,31301
5d63275f9b22da000117b107,ma_choice_v4_movies_pilot3,fullscreenexit,5,117303,2022-06-24 18:50:16,31302
5d63275f9b22da000117b107,ma_choice_v4_movies_pilot3,blur,5,120629,2022-06-24 18:50:19,31303
60cc67809f92d570ba4dc2c5,ma_choice_v4_movies_pilot3,fullscreenenter,2,29286,2022-06-24 18:50:33,31304
5a2adf6a8e00a000019864fb,ma_choice_v4_movies_pilot3,fullscreenexit,30,271234,2022-06-24 18:53:22,31305
5a2adf6a8e00a000019864fb,ma_choice_v4_movies_pilot3,blur,30,272550,2022-06-24 18:53:24,31306
5a2adf6a8e00a000019864fb,ma_choice_v4_movies_pilot3,focus,30,290215,2022-06-24 18:53:41,31307
62b4a68f5a0b656aa7a07891,ma_choice_v4_movies_pilot3,blur,244,1917235,2022-06-24 18:54:29,31308
62b4a68f5a0b656aa7a07891,ma_choice_v4_movies_pilot3,focus,244,1922856,2022-06-24 18:54:34,31309
5b5a51302b05780001a8ae0b,ma_choice_v4_movies_pilot3,fullscreenenter,2,28536,2022-06-24 18:57:58,31310
5d3b9f531850400001d2bac9,ma_choice_v4_movies_pilot3,fullscreenexit,312,2333119,2022-06-24 18:59:23,31311
55a55bd7fdf99b790558627c,ma_choice_v4_movies_pilot3,blur,174,1088293,2022-06-24 18:59:27,31312
5d3b9f531850400001d2bac9,ma_choice_v4_movies_pilot3,blur,312,2338710,2022-06-24 18:59:28,31313
55a55bd7fdf99b790558627c,ma_choice_v4_movies_pilot3,focus,174,1124360,2022-06-24 19:00:03,31314
55a55bd7fdf99b790558627c,ma_choice_v4_movies_pilot3,blur,180,1160156,2022-06-24 19:00:38,31315
55a55bd7fdf99b790558627c,ma_choice_v4_movies_pilot3,focus,180,1169389,2022-06-24 19:00:48,31316
55a55bd7fdf99b790558627c,ma_choice_v4_movies_pilot3,blur,182,1170707,2022-06-24 19:00:49,31317
55a55bd7fdf99b790558627c,ma_choice_v4_movies_pilot3,focus,182,1185814,2022-06-24 19:01:04,31318
62b4a68f5a0b656aa7a07891,ma_choice_v4_movies_pilot3,blur,306,2468000,2022-06-24 19:03:40,31319
62b4a68f5a0b656aa7a07891,ma_choice_v4_movies_pilot3,focus,306,2474970,2022-06-24 19:03:46,31320
62b4a68f5a0b656aa7a07891,ma_choice_v4_movies_pilot3,blur,306,2490771,2022-06-24 19:04:02,31321
62b4a68f5a0b656aa7a07891,ma_choice_v4_movies_pilot3,focus,306,2493285,2022-06-24 19:04:05,31322
62b4a68f5a0b656aa7a07891,ma_choice_v4_movies_pilot3,blur,308,2541295,2022-06-24 19:04:53,31323
5db222231ff7b4000ab2cfc1,ma_choice_v4_movies_pilot3,blur,2,135337,2022-06-24 19:05:36,31324
5db222231ff7b4000ab2cfc1,ma_choice_v4_movies_pilot3,focus,2,247046,2022-06-24 19:07:27,31326
5db222231ff7b4000ab2cfc1,ma_choice_v4_movies_pilot3,fullscreenenter,2,248285,2022-06-24 19:07:29,31327
5f919a881f37510203a7a638,ma_choice_v4_movies_pilot3,fullscreenenter,2,13244,2022-06-24 19:08:01,31328
62b077136224952ffd679d48,ma_choice_v4_movies_pilot3,fullscreenenter,2,13675,2022-06-24 19:08:24,31329
5ea47210b166de41ed7b1d92,ma_choice_v4_movies_pilot3,fullscreenenter,2,18487,2022-06-24 19:08:56,31330
610815596499e1aa19350986,ma_choice_v4_movies_pilot3,blur,306,2666303,2022-06-24 19:09:54,31331
628b8f6a7a0084a4b2e1a007,ma_choice_v4_movies_pilot3,fullscreenexit,312,2906831,2022-06-24 19:11:06,31332
5781c15381f331000139a89e,ma_choice_v4_movies_pilot3,fullscreenenter,2,59036,2022-06-24 19:11:08,31333
628b8f6a7a0084a4b2e1a007,ma_choice_v4_movies_pilot3,blur,312,2912129,2022-06-24 19:11:11,31334
610815596499e1aa19350986,ma_choice_v4_movies_pilot3,focus,306,2810228,2022-06-24 19:12:17,31335
58ac890076c5b70001662993,ma_choice_v4_movies_pilot3,blur,2,16666,2022-06-24 19:13:02,31336
610815596499e1aa19350986,ma_choice_v4_movies_pilot3,blur,308,2862550,2022-06-24 19:13:09,31337
610815596499e1aa19350986,ma_choice_v4_movies_pilot3,fullscreenexit,308,2862547,2022-06-24 19:13:09,31338
58ac890076c5b70001662993,ma_choice_v4_movies_pilot3,focus,2,23938,2022-06-24 19:13:09,31339
610815596499e1aa19350986,ma_choice_v4_movies_pilot3,focus,308,2862591,2022-06-24 19:13:09,31340
58ac890076c5b70001662993,ma_choice_v4_movies_pilot3,fullscreenenter,2,25134,2022-06-24 19:13:10,31341
610815596499e1aa19350986,ma_choice_v4_movies_pilot3,blur,308,2866357,2022-06-24 19:13:13,31342
58ac890076c5b70001662993,ma_choice_v4_movies_pilot3,fullscreenexit,4,51871,2022-06-24 19:13:37,31343
58ac890076c5b70001662993,ma_choice_v4_movies_pilot3,blur,4,65772,2022-06-24 19:13:51,31344
5cb6527cdcd7180015d0a463,ma_choice_v4_movies_pilot3,fullscreenenter,2,23918,2022-06-24 19:14:02,31345
55a55bd7fdf99b790558627c,ma_choice_v4_movies_pilot3,blur,227,1978261,2022-06-24 19:14:17,31346
58ac890076c5b70001662993,ma_choice_v4_movies_pilot3,focus,4,105521,2022-06-24 19:14:31,31347
55a55bd7fdf99b790558627c,ma_choice_v4_movies_pilot3,focus,227,2004598,2022-06-24 19:14:43,31348
55a55bd7fdf99b790558627c,ma_choice_v4_movies_pilot3,blur,227,2005148,2022-06-24 19:14:43,31349
55a55bd7fdf99b790558627c,ma_choice_v4_movies_pilot3,focus,227,2010726,2022-06-24 19:14:49,31350
62b5e825a5e8616bde25741d,ma_choice_v4_movies_pilot3,blur,306,2552113,2022-06-24 19:14:53,31351
628409abe8772d1f138b7f14,ma_choice_v4_movies_pilot3,blur,2,22655,2022-06-24 19:16:01,31352
628409abe8772d1f138b7f14,ma_choice_v4_movies_pilot3,focus,2,27834,2022-06-24 19:16:06,31353
628409abe8772d1f138b7f14,ma_choice_v4_movies_pilot3,fullscreenenter,2,29955,2022-06-24 19:16:08,31354
62b5e825a5e8616bde25741d,ma_choice_v4_movies_pilot3,fullscreenexit,306,2691500,2022-06-24 19:17:12,31355
62b5e825a5e8616bde25741d,ma_choice_v4_movies_pilot3,focus,306,2713264,2022-06-24 19:17:34,31356
55a55bd7fdf99b790558627c,ma_choice_v4_movies_pilot3,blur,245,2262627,2022-06-24 19:19:01,31357
55a55bd7fdf99b790558627c,ma_choice_v4_movies_pilot3,focus,245,2273255,2022-06-24 19:19:11,31358
58ac890076c5b70001662993,ma_choice_v4_movies_pilot3,blur,56,437147,2022-06-24 19:20:02,31359
58ac890076c5b70001662993,ma_choice_v4_movies_pilot3,focus,56,440726,2022-06-24 19:20:06,31360
62b5e825a5e8616bde25741d,ma_choice_v4_movies_pilot3,blur,312,2906542,2022-06-24 19:20:47,31361
55a55bd7fdf99b790558627c,ma_choice_v4_movies_pilot3,blur,258,2592644,2022-06-24 19:24:31,31362
55a55bd7fdf99b790558627c,ma_choice_v4_movies_pilot3,focus,258,2620684,2022-06-24 19:24:59,31363
55a55bd7fdf99b790558627c,ma_choice_v4_movies_pilot3,blur,306,2904859,2022-06-24 19:29:43,31364
62b4a68f5a0b656aa7a07891,ma_choice_v4_movies_pilot3,focus,308,4043928,2022-06-24 19:29:57,31365
62b4a68f5a0b656aa7a07891,ma_choice_v4_movies_pilot3,fullscreenexit,312,4120851,2022-06-24 19:31:12,31366
62b4a68f5a0b656aa7a07891,ma_choice_v4_movies_pilot3,blur,312,4128401,2022-06-24 19:31:20,31367
55a55bd7fdf99b790558627c,ma_choice_v4_movies_pilot3,focus,306,3024805,2022-06-24 19:31:43,31368
6103907e48194088cd8e0b05,ma_choice_v4_movies_pilot3,fullscreenexit,312,4730841,2022-06-24 19:32:00,31369
