subject,version,assignmentId,trial,attribute,rating,least_preferred,most_preferred,type,rt,rt2,full_or_lex,signed_weights,original_or_followup,stamp,id
61087340524af628c86bc38c,ma_choice_v4_movies_pilot4,61087340524af628c86bc38c,0,Acting,1,,,lex_att_rating,5125,,,,,2022-06-26 18:19:48,37142
61087340524af628c86bc38c,ma_choice_v4_movies_pilot4,61087340524af628c86bc38c,2,romantic,50,,,wad_att_rating,8338,,,,,2022-06-26 18:20:05,37143
61087340524af628c86bc38c,ma_choice_v4_movies_pilot4,61087340524af628c86bc38c,0,artistic,24,,,wad_att_rating,7652,,,,,2022-06-26 18:20:12,37144
61087340524af628c86bc38c,ma_choice_v4_movies_pilot4,61087340524af628c86bc38c,6,dialogue,51,,,wad_att_rating,5963,,,,,2022-06-26 18:20:18,37145
61087340524af628c86bc38c,ma_choice_v4_movies_pilot4,61087340524af628c86bc38c,3,visual,62,,,wad_att_rating,3300,,,,,2022-06-26 18:20:22,37146
61087340524af628c86bc38c,ma_choice_v4_movies_pilot4,61087340524af628c86bc38c,1,funny,88,,,wad_att_rating,3303,,,,,2022-06-26 18:20:25,37147
61087340524af628c86bc38c,ma_choice_v4_movies_pilot4,61087340524af628c86bc38c,4,great acting,88,,,wad_att_rating,4621,,,,,2022-06-26 18:20:30,37148
61087340524af628c86bc38c,ma_choice_v4_movies_pilot4,61087340524af628c86bc38c,7,awesome soundtrack,25,,,wad_att_rating,3168,,,,,2022-06-26 18:20:33,37149
61087340524af628c86bc38c,ma_choice_v4_movies_pilot4,61087340524af628c86bc38c,8,good action,62,,,wad_att_rating,3701,,,,,2022-06-26 18:20:36,37150
61087340524af628c86bc38c,ma_choice_v4_movies_pilot4,61087340524af628c86bc38c,5,plot,76,,,wad_att_rating,4219,,,,,2022-06-26 18:20:41,37151
61087340524af628c86bc38c,ma_choice_v4_movies_pilot4,61087340524af628c86bc38c,0,Humor,1,,,ew_att_rating,12265,,,,,2022-06-26 18:21:00,37152
61087340524af628c86bc38c,ma_choice_v4_movies_pilot4,61087340524af628c86bc38c,0,Plot,1,,,ew_att_rating,12265,,,,,2022-06-26 18:21:00,37153
61087340524af628c86bc38c,ma_choice_v4_movies_pilot4,61087340524af628c86bc38c,0,Acting,1,,,ew_att_rating,12265,,,,,2022-06-26 18:21:00,37154
61087340524af628c86bc38c,ma_choice_v4_movies_pilot4,61087340524af628c86bc38c,0,plot,1,Very Bad,Very Good,direction,12028,,,,,2022-06-26 18:21:40,37155
61087340524af628c86bc38c,ma_choice_v4_movies_pilot4,61087340524af628c86bc38c,0,plot,1,Very Bad,Bad,direction,8736,,,,,2022-06-26 18:21:49,37156
61087340524af628c86bc38c,ma_choice_v4_movies_pilot4,61087340524af628c86bc38c,0,plot,1,Bad,Moderate,direction,4863,,,,,2022-06-26 18:21:54,37157
61087340524af628c86bc38c,ma_choice_v4_movies_pilot4,61087340524af628c86bc38c,0,plot,1,Moderate,Good,direction,5080,,,,,2022-06-26 18:21:59,37158
61087340524af628c86bc38c,ma_choice_v4_movies_pilot4,61087340524af628c86bc38c,0,plot,1,Good,Very Good,direction,3080,,,,,2022-06-26 18:22:02,37159
61087340524af628c86bc38c,ma_choice_v4_movies_pilot4,61087340524af628c86bc38c,1,dialogue,1,Very Bad,Very Good,direction,6922,,,,,2022-06-26 18:22:11,37160
61087340524af628c86bc38c,ma_choice_v4_movies_pilot4,61087340524af628c86bc38c,1,dialogue,1,Very Bad,Bad,direction,3753,,,,,2022-06-26 18:22:14,37161
61087340524af628c86bc38c,ma_choice_v4_movies_pilot4,61087340524af628c86bc38c,1,dialogue,1,Bad,Moderate,direction,1699,,,,,2022-06-26 18:22:16,37162
61087340524af628c86bc38c,ma_choice_v4_movies_pilot4,61087340524af628c86bc38c,1,dialogue,1,Moderate,Good,direction,3524,,,,,2022-06-26 18:22:20,37163
61087340524af628c86bc38c,ma_choice_v4_movies_pilot4,61087340524af628c86bc38c,1,dialogue,1,Good,Very Good,direction,2325,,,,,2022-06-26 18:22:22,37164
61087340524af628c86bc38c,ma_choice_v4_movies_pilot4,61087340524af628c86bc38c,2,awesome soundtrack,1,Very Bad,Very Good,direction,3523,,,,,2022-06-26 18:22:26,37165
61087340524af628c86bc38c,ma_choice_v4_movies_pilot4,61087340524af628c86bc38c,2,awesome soundtrack,1,Very Bad,Bad,direction,1783,,,,,2022-06-26 18:22:28,37166
