subject,version,assignmentId,trial,practice,opt1_id,opt2_id,attributes,opt1_values,opt2_values,choice,orig_choice,rt,stamp,id
5c9e829c7c5bfd00177fe952,ma_choice_v4_observers_pilot1,5c9e829c7c5bfd00177fe952,0,1,-1,-1,"Size of home,Quality of heat/AC system,Amount of traffic,Reputation of closest school,Noise pollution,Year building was built,Quality of kitchen,Size of yard,Closeness to parks","1400 square feet,Bad,Very Little,Very Bad,High,2008,Bad,300 square feet,10 min away","1100 square feet,Good,A Lot,Good,Low,1971,Good,600 square feet,30 min away",1,1,27194,2022-06-16 21:09:02,80019
5c9e829c7c5bfd00177fe952,ma_choice_v4_observers_pilot1,5c9e829c7c5bfd00177fe952,1,1,-1,-1,"Quality of heat/AC system,Reputation of closest school,Year building was built,Amount of traffic,Size of home,Size of yard,Closeness to parks,Noise pollution,Quality of kitchen","Good,Moderate,1950,A Lot,1400 square feet,150 square feet,15 min away,Very High,Moderate","Bad,Very Good,2009,Very Little,1600 square feet,300 square feet,30 min away,Low,Very Good",1,0,33669,2022-06-16 21:09:37,80236
5c9e829c7c5bfd00177fe952,ma_choice_v4_observers_pilot1,5c9e829c7c5bfd00177fe952,2,1,-1,-1,"Size of home,Closeness to parks,Year building was built,Reputation of closest school,Quality of heat/AC system,Amount of traffic,Noise pollution,Size of yard,Quality of kitchen","1100 square feet,20 min away,1974,Good,Very Bad,A Lot,Very Low,450 square feet,Moderate","1500 square feet,30 min away,2020,Very Bad,Good,A Little,Very High,200 square feet,Very Bad",1,1,22382,2022-06-16 21:10:00,80374
5c9e829c7c5bfd00177fe952,ma_choice_v4_observers_pilot1,5c9e829c7c5bfd00177fe952,3,1,-1,-1,"Quality of heat/AC system,Size of yard,Noise pollution,Closeness to parks,Amount of traffic,Size of home,Quality of kitchen,Year building was built,Reputation of closest school","Moderate,100 square feet,High,20 min away,A Little,1700 square feet,Very Good,1993,Very Good","Very Good,250 square feet,Low,30 min away,A Lot,800 square feet,Bad,1953,Moderate",0,0,13476,2022-06-16 21:10:15,80447
5c9e829c7c5bfd00177fe952,ma_choice_v4_observers_pilot1,5c9e829c7c5bfd00177fe952,4,1,-1,-1,"Reputation of closest school,Amount of traffic,Size of home,Closeness to parks,Year building was built,Quality of kitchen,Size of yard,Noise pollution,Quality of heat/AC system","Good,A Lot,600 square feet,20 min away,1950,Very Bad,500 square feet,Very High,Very Good","Very Bad,Very Little,900 square feet,10 min away,1995,Good,350 square feet,Very Low,Moderate",1,1,9385,2022-06-16 21:10:25,80524
5c9e829c7c5bfd00177fe952,ma_choice_v4_observers_pilot1,5c9e829c7c5bfd00177fe952,5,1,-1,-1,"Closeness to parks,Quality of heat/AC system,Quality of kitchen,Year building was built,Size of home,Size of yard,Amount of traffic,Noise pollution,Reputation of closest school","25 min away,Moderate,Good,2016,1300 square feet,150 square feet,A Lot,Low,Moderate","10 min away,Very Good,Very Bad,1972,1000 square feet,350 square feet,A Little,Very High,Very Bad",0,0,9409,2022-06-16 21:10:35,80588
5c9e829c7c5bfd00177fe952,ma_choice_v4_observers_pilot1,5c9e829c7c5bfd00177fe952,6,1,-1,-1,"Size of yard,Year building was built,Amount of traffic,Reputation of closest school,Closeness to parks,Noise pollution,Quality of kitchen,Size of home,Quality of heat/AC system","350 square feet,2013,A Lot,Good,10 min away,High,Very Bad,700 square feet,Very Good","100 square feet,1974,A Little,Very Bad,30 min away,Very Low,Moderate,1200 square feet,Very Bad",0,0,7965,2022-06-16 21:10:44,80638
5c9e829c7c5bfd00177fe952,ma_choice_v4_observers_pilot1,5c9e829c7c5bfd00177fe952,7,1,-1,-1,"Amount of traffic,Reputation of closest school,Noise pollution,Quality of kitchen,Size of home,Year building was built,Closeness to parks,Size of yard,Quality of heat/AC system","A Moderate Amount,Good,Very Low,Good,1100 square feet,1973,25 min away,400 square feet,Very Good","Very Little,Bad,High,Bad,1300 square feet,2012,15 min away,50 square feet,Very Bad",0,0,8147,2022-06-16 21:10:53,80699
5c9e829c7c5bfd00177fe952,ma_choice_v4_observers_pilot1,5c9e829c7c5bfd00177fe952,8,1,-1,-1,"Size of home,Closeness to parks,Amount of traffic,Noise pollution,Year building was built,Size of yard,Reputation of closest school,Quality of kitchen,Quality of heat/AC system","1400 square feet,30 min away,A Lot,Moderate,1970,150 square feet,Very Good,Moderate,Very Bad","1800 square feet,20 min away,Very Little,Very Low,2005,450 square feet,Moderate,Very Bad,Moderate",1,1,8169,2022-06-16 21:11:03,80765
5c9e829c7c5bfd00177fe952,ma_choice_v4_observers_pilot1,5c9e829c7c5bfd00177fe952,9,1,-1,-1,"Size of home,Closeness to parks,Year building was built,Amount of traffic,Reputation of closest school,Quality of heat/AC system,Quality of kitchen,Size of yard,Noise pollution","1500 square feet,25 min away,1955,Very Little,Moderate,Very Good,Very Good,500 square feet,Very Low","1100 square feet,15 min away,2006,A Lot,Very Bad,Moderate,Very Bad,300 square feet,Moderate",0,0,7912,2022-06-16 21:11:12,80824
5c9e829c7c5bfd00177fe952,ma_choice_v4_observers_pilot1,5c9e829c7c5bfd00177fe952,0,0,-1,-1,"Size of yard,Year building was built,Quality of kitchen,Size of home,Noise pollution,Amount of traffic,Reputation of closest school,Quality of heat/AC system,Closeness to parks","50 square feet,1988,Very Good,1100 square feet,Moderate,A Moderate Amount,Good,Good,10 min away","600 square feet,2016,Moderate,900 square feet,Very High,Very Little,Very Bad,Very Bad,20 min away",0,0,14764,2022-06-16 21:12:01,81144
5c9e829c7c5bfd00177fe952,ma_choice_v4_observers_pilot1,5c9e829c7c5bfd00177fe952,1,0,-1,-1,"Quality of heat/AC system,Noise pollution,Reputation of closest school,Size of home,Year building was built,Quality of kitchen,Amount of traffic,Closeness to parks,Size of yard","Moderate,Very Low,Good,1500 square feet,1997,Moderate,A Little,25 min away,250 square feet","Very Bad,High,Very Bad,800 square feet,1963,Very Good,A Lot,15 min away,500 square feet",0,0,9284,2022-06-16 21:12:11,81202
