subject,version,browser_event,trial,time,stamp,id
6127df52d897b4da6d8ddda8,ma_choice_v4_observers_pilot2,fullscreenenter,2,15275,2022-06-17 18:52:30,21552
62acc04d0a7788636b0e9915,ma_choice_v4_observers_pilot2,fullscreenenter,2,24932,2022-06-17 18:53:17,21558
62850d0754941f925e1af397,ma_choice_v4_observers_pilot2,fullscreenenter,2,10757,2022-06-17 18:56:19,21566
62850d0754941f925e1af397,ma_choice_v4_observers_pilot2,blur,26,382518,2022-06-17 19:02:31,21587
62850d0754941f925e1af397,ma_choice_v4_observers_pilot2,focus,26,385209,2022-06-17 19:02:34,21588
62850d0754941f925e1af397,ma_choice_v4_observers_pilot2,blur,26,386310,2022-06-17 19:02:35,21589
62850d0754941f925e1af397,ma_choice_v4_observers_pilot2,focus,26,389986,2022-06-17 19:02:38,21590
6234c8127a4c8c2c2c0ac967,ma_choice_v4_observers_pilot2,fullscreenenter,2,18577,2022-06-17 19:06:45,21602
601423ec0be39337dfd75b26,ma_choice_v4_observers_pilot2,fullscreenenter,2,9830,2022-06-17 19:07:27,21606
5dba287f9653e80734e335d7,ma_choice_v4_observers_pilot2,fullscreenenter,2,279092,2022-06-17 19:12:41,21609
60db56b9d2a00bf1e356167a,ma_choice_v4_observers_pilot2,fullscreenenter,2,9523,2022-06-17 19:14:16,21614
5fbd371dc57ae80a38ba00c2,ma_choice_v4_observers_pilot2,fullscreenenter,2,15581,2022-06-17 19:16:54,21617
5858c6178604ae000165e66a,ma_choice_v4_observers_pilot2,fullscreenenter,2,28865,2022-06-17 19:25:13,21634
62850d0754941f925e1af397,ma_choice_v4_observers_pilot2,blur,231,1836581,2022-06-17 19:26:45,21635
62850d0754941f925e1af397,ma_choice_v4_observers_pilot2,focus,231,1840744,2022-06-17 19:26:49,21637
62ac8c4bf1245233d71d0fd6,ma_choice_v4_observers_pilot2,fullscreenenter,2,298217,2022-06-17 19:27:24,21639
62ac8c4bf1245233d71d0fd6,ma_choice_v4_observers_pilot2,fullscreenexit,2,298930,2022-06-17 19:27:25,21640
5db896c80f6ebd000d5d8487,ma_choice_v4_observers_pilot2,fullscreenenter,2,76873,2022-06-17 19:30:17,21644
607134f478e13587bd89e13a,ma_choice_v4_observers_pilot2,fullscreenenter,2,9285,2022-06-17 19:30:38,21645
62ac8c4bf1245233d71d0fd6,ma_choice_v4_observers_pilot2,blur,48,635615,2022-06-17 19:33:01,21651
62ac8c4bf1245233d71d0fd6,ma_choice_v4_observers_pilot2,focus,48,645479,2022-06-17 19:33:11,21653
62ac8c4bf1245233d71d0fd6,ma_choice_v4_observers_pilot2,blur,64,734393,2022-06-17 19:34:40,21656
62ac8c4bf1245233d71d0fd6,ma_choice_v4_observers_pilot2,focus,64,754169,2022-06-17 19:35:00,21658
60412f7a5f580407f8e6e615,ma_choice_v4_observers_pilot2,fullscreenenter,2,8599,2022-06-17 19:35:00,21659
5db896c80f6ebd000d5d8487,ma_choice_v4_observers_pilot2,fullscreenexit,26,367176,2022-06-17 19:35:07,21660
62ac8c4bf1245233d71d0fd6,ma_choice_v4_observers_pilot2,blur,68,771818,2022-06-17 19:35:17,21661
62ac8c4bf1245233d71d0fd6,ma_choice_v4_observers_pilot2,focus,68,776333,2022-06-17 19:35:22,21662
62ac8c4bf1245233d71d0fd6,ma_choice_v4_observers_pilot2,blur,76,821712,2022-06-17 19:36:07,21670
62ac8c4bf1245233d71d0fd6,ma_choice_v4_observers_pilot2,focus,76,823532,2022-06-17 19:36:09,21671
62ac8c4bf1245233d71d0fd6,ma_choice_v4_observers_pilot2,focus,76,823534,2022-06-17 19:36:09,21672
55afd54efdf99b4099d5735f,ma_choice_v4_observers_pilot2,fullscreenenter,2,12437,2022-06-17 19:36:36,21676
62ac8c4bf1245233d71d0fd6,ma_choice_v4_observers_pilot2,blur,102,1037926,2022-06-17 19:39:43,21684
62ac8c4bf1245233d71d0fd6,ma_choice_v4_observers_pilot2,focus,102,1045934,2022-06-17 19:39:52,21687
5f1b84872171f838a8a3cfa9,ma_choice_v4_observers_pilot2,fullscreenenter,2,22492,2022-06-17 19:40:34,21691
62ac8c4bf1245233d71d0fd6,ma_choice_v4_observers_pilot2,blur,126,1160424,2022-06-17 19:41:46,21693
62ac8c4bf1245233d71d0fd6,ma_choice_v4_observers_pilot2,focus,126,1171393,2022-06-17 19:41:57,21695
60412f7a5f580407f8e6e615,ma_choice_v4_observers_pilot2,fullscreenexit,28,425181,2022-06-17 19:41:57,21696
60412f7a5f580407f8e6e615,ma_choice_v4_observers_pilot2,blur,28,427010,2022-06-17 19:41:59,21698
607134f478e13587bd89e13a,ma_choice_v4_observers_pilot2,focus,128,751007,2022-06-17 19:42:59,21700
607134f478e13587bd89e13a,ma_choice_v4_observers_pilot2,blur,128,750983,2022-06-17 19:42:59,21701
62850d0754941f925e1af397,ma_choice_v4_observers_pilot2,fullscreenexit,307,2822552,2022-06-17 19:43:11,21702
62ac7ad94cc5e1db068a442c,ma_choice_v4_observers_pilot2,fullscreenenter,2,8374,2022-06-17 19:44:22,21708
62acc04d0a7788636b0e9915,ma_choice_v4_observers_pilot2,blur,228,3191152,2022-06-17 19:46:03,21713
62acc04d0a7788636b0e9915,ma_choice_v4_observers_pilot2,focus,228,3191367,2022-06-17 19:46:03,21714
62acc04d0a7788636b0e9915,ma_choice_v4_observers_pilot2,blur,228,3194073,2022-06-17 19:46:06,21715
62acc04d0a7788636b0e9915,ma_choice_v4_observers_pilot2,focus,228,3194282,2022-06-17 19:46:06,21716
62acc04d0a7788636b0e9915,ma_choice_v4_observers_pilot2,blur,228,3198486,2022-06-17 19:46:10,21717
62acc04d0a7788636b0e9915,ma_choice_v4_observers_pilot2,focus,228,3198698,2022-06-17 19:46:11,21718
62ac8c4bf1245233d71d0fd6,ma_choice_v4_observers_pilot2,blur,156,1444298,2022-06-17 19:46:30,21719
62ac8c4bf1245233d71d0fd6,ma_choice_v4_observers_pilot2,focus,156,1446277,2022-06-17 19:46:32,21720
62ac8c4bf1245233d71d0fd6,ma_choice_v4_observers_pilot2,blur,156,1447290,2022-06-17 19:46:33,21721
5f68dfc4f0b95a06e45d2fad,ma_choice_v4_observers_pilot2,fullscreenenter,2,55332,2022-06-17 19:46:42,21722
60db56b9d2a00bf1e356167a,ma_choice_v4_observers_pilot2,blur,148,1976846,2022-06-17 19:47:03,21724
60db56b9d2a00bf1e356167a,ma_choice_v4_observers_pilot2,focus,148,1977868,2022-06-17 19:47:04,21725
62ac8c4bf1245233d71d0fd6,ma_choice_v4_observers_pilot2,focus,156,1482696,2022-06-17 19:47:08,21726
5e6d45a4f83081302dfcb528,ma_choice_v4_observers_pilot2,fullscreenenter,2,10299,2022-06-17 19:47:11,21727
62ac8c4bf1245233d71d0fd6,ma_choice_v4_observers_pilot2,blur,158,1490141,2022-06-17 19:47:16,21728
62ac8c4bf1245233d71d0fd6,ma_choice_v4_observers_pilot2,focus,158,1503253,2022-06-17 19:47:29,21729
62ac8c4bf1245233d71d0fd6,ma_choice_v4_observers_pilot2,blur,160,1506126,2022-06-17 19:47:32,21730
62ac8c4bf1245233d71d0fd6,ma_choice_v4_observers_pilot2,focus,160,1507752,2022-06-17 19:47:33,21731
