session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,Ethnicity (Simplified),First Language,Nationality,Sex,Student Status
62b1d5ad25d971571d989a7f,60ddc7abdf6661b9c294691f,RETURNED,29:23.6,,90132.61744,36,534,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62b1d67f28c6327b65eb02de,61267bcd72257ca236f7f7a7,APPROVED,32:42.8,20:58.6,2895.804,20,85,0,100,30:43.9,3F3EE65E,United States,United States,Full-Time,White,English,United States,Female,Yes
62b1d9395413292034d308e9,5a792c898fe2dc0001058c3b,APPROVED,44:14.3,34:28.4,3014.117,34,2349,0,100,42:35.0,3F3EE65E,United States,United States,Part-Time,White,English,United States,Female,No
62b1d9443d6ef0ea86ec31eb,60feda404adb5c12f3220913,APPROVED,44:26.7,30:51.6,2784.896,25,44,0,100,42:34.7,3F3EE65E,United States,United States,DATA EXPIRED,White,English,United States,Female,DATA EXPIRED
62b1da71e59a00d4a80dc57e,5748077a5e5491000e3bf711,APPROVED,49:23.6,23:29.0,2045.316,28,1602,20,96,30:43.8,3F3EE65E,United States,United States,DATA EXPIRED,White,English,United States,Male,Yes
62b1e01e14e53e8d5ae40863,5f494c1ba043204912fb6be1,APPROVED,23:24.0,38:51.6,4527.631,29,696,1,100,42:35.1,3F3EE65E,United States,United States,DATA EXPIRED,White,English,United States,Female,DATA EXPIRED
62b1e1d975a7db27baf92c56,60fed7a3e26a26e08d04fbe3,APPROVED,21:07.2,09:26.2,2898.992,20,78,1,100,42:34.8,3F3EE65E,United States,United States,Part-Time,White,English,United States,Female,Yes
62b1e27bf54287fc5d12cfaa,5f36cce4f707260f387cf43c,APPROVED,25:25.5,00:15.4,2089.819,30,340,3,100,42:35.2,NOCODE,United States,United States,Full-Time,White,English,United States,Female,Yes
62b1e3bc676251dcb35bfe9c,5ee667342eebe93d1db38dd0,APPROVED,29:02.9,04:13.4,2110.47,56,958,9,97,42:34.5,3F3EE65E,Cuba,United States,DATA EXPIRED,White,English,United States,Male,DATA EXPIRED
62b1e4c2691c95036dd82368,60ffa146784103f75aadb045,APPROVED,33:32.0,55:58.0,4946.055,34,246,2,100,55:07.5,3F3EE65E,DATA EXPIRED,United States,DATA EXPIRED,White,English,United States,Male,DATA EXPIRED
62b1e55b068d3c89a7b42a76,60d79091b5af3686cb75f026,APPROVED,36:14.3,10:56.9,2082.627,35,775,2,100,42:34.3,3F3EE65E,United States,United States,DATA EXPIRED,White,English,United States,Male,Yes
62b1e56c96e8dea5934f1e48,6159d4026fd4e22c9f1179c1,APPROVED,36:16.4,13:19.0,2222.622,41,852,2,100,42:35.6,3F3EE65E,United States,United States,DATA EXPIRED,White,English,United States,Female,No
62b1e5c7ba51cef4771e0839,5a2170527413810001521c19,APPROVED,37:47.8,25:30.7,2862.953,70,968,4,99,42:33.7,3F3EE65E,United States,United States,DATA EXPIRED,White,English,United States,Female,DATA EXPIRED
62b1e5d2e8bd98fe9d8c4faa,62a0f7db18a72f2654996af3,APPROVED,37:59.8,32:13.4,3253.583,40,22,0,100,42:35.7,3F3EE65E,United States,United States,Part-Time,White,English,United States,Female,No
62b1e65245fe9bbe711e083d,601db2e563979b1a6aac8401,APPROVED,40:09.4,35:19.2,3309.784,58,1028,5,100,42:33.8,3F3EE65E,Canada,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",White,English,United States,Female,No
62b1e7b7b2d853ff5b863c0e,603e50bc791c600d83607ded,RETURNED,46:04.3,,85532.02934,40,1196,23,94,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62b1e7bba25b6d7e92f710d2,62b0d24d95bc72be2f45c720,APPROVED,46:03.2,23:18.7,2235.451,18,15,0,100,42:34.0,3F3EE65E,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",White,English,United States,Male,No
62b1e7ccade6652bb71221e2,611c31c77df20ecc6881cc44,RETURNED,46:28.7,,85507.65603,65,1042,8,98,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62b1e9a56966eeccffd653f4,614f571879ee135c5a579e08,APPROVED,54:19.0,56:06.8,3707.823,27,136,1,100,55:13.2,3F3EE65E,United States,United States,Unemployed (and job seeking),Black,English,United States,Male,No
62b1e9bc5c2239641a44599f,5a95fee189de8200013eddd4,APPROVED,54:36.8,38:43.4,2646.594,40,803,0,100,42:35.8,3F3EE65E,United States,United States,Unemployed (and job seeking),White,English,United States,Female,No
62b1eae362feccde22466df5,60e792f25e9ab875f9605cf5,APPROVED,59:35.3,32:00.7,1945.399,37,1098,1,100,42:35.4,3F3EE65E,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",White,English,United States,Female,No
62b1eb6656aeba5b022376b5,585dd349445a5f00019b3b7c,RETURNED,11:42.6,,83993.88709,30,789,6,98,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
