subject,version,assignmentId,trial,attribute,rating,least_preferred,most_preferred,type,rt,rt2,full_or_lex,signed_weights,original_or_followup,stamp,id
5ea3aa462d77061c2a8fc5d6,ma_choice_v4_social_pilot2,5ea3aa462d77061c2a8fc5d6,0,Quality of music playing,1,,,lex_att_rating,7135,,,,,2022-06-30 13:43:54,85285
5ea3aa462d77061c2a8fc5d6,ma_choice_v4_social_pilot2,5ea3aa462d77061c2a8fc5d6,6,Quality of socializing,28,,,wad_att_rating,4487,,,,,2022-06-30 13:44:02,85286
5ea3aa462d77061c2a8fc5d6,ma_choice_v4_social_pilot2,5ea3aa462d77061c2a8fc5d6,3,Number of other people present,63,,,wad_att_rating,5198,,,,,2022-06-30 13:44:07,85287
5ea3aa462d77061c2a8fc5d6,ma_choice_v4_social_pilot2,5ea3aa462d77061c2a8fc5d6,4,Duration,0,,,wad_att_rating,2255,,,,,2022-06-30 13:44:09,85288
5ea3aa462d77061c2a8fc5d6,ma_choice_v4_social_pilot2,5ea3aa462d77061c2a8fc5d6,2,Amount of food present,17,,,wad_att_rating,2815,,,,,2022-06-30 13:44:12,85289
5ea3aa462d77061c2a8fc5d6,ma_choice_v4_social_pilot2,5ea3aa462d77061c2a8fc5d6,5,Quality of music playing,100,,,wad_att_rating,2871,,,,,2022-06-30 13:44:15,85290
5ea3aa462d77061c2a8fc5d6,ma_choice_v4_social_pilot2,5ea3aa462d77061c2a8fc5d6,0,Distance from home,50,,,wad_att_rating,2615,,,,,2022-06-30 13:44:17,85291
5ea3aa462d77061c2a8fc5d6,ma_choice_v4_social_pilot2,5ea3aa462d77061c2a8fc5d6,1,Amount of alcohol present,29,,,wad_att_rating,1894,,,,,2022-06-30 13:44:19,85292
5ea3aa462d77061c2a8fc5d6,ma_choice_v4_social_pilot2,5ea3aa462d77061c2a8fc5d6,0,Distance from home,1,,,ew_att_rating,8292,,,,,2022-06-30 13:44:31,85293
5ea3aa462d77061c2a8fc5d6,ma_choice_v4_social_pilot2,5ea3aa462d77061c2a8fc5d6,0,Quality of music playing,1,,,ew_att_rating,8292,,,,,2022-06-30 13:44:31,85294
5ea3aa462d77061c2a8fc5d6,ma_choice_v4_social_pilot2,5ea3aa462d77061c2a8fc5d6,0,Number of other people present,1,,,ew_att_rating,8292,,,,,2022-06-30 13:44:31,85295
5ea3aa462d77061c2a8fc5d6,ma_choice_v4_social_pilot2,5ea3aa462d77061c2a8fc5d6,0,Number of other people present,1,3 people,12 people,direction,10640,,,,,2022-06-30 13:45:06,85296
5ea3aa462d77061c2a8fc5d6,ma_choice_v4_social_pilot2,5ea3aa462d77061c2a8fc5d6,0,Number of other people present,1,3 people,5 people,direction,4797,,,,,2022-06-30 13:45:11,85297
5ea3aa462d77061c2a8fc5d6,ma_choice_v4_social_pilot2,5ea3aa462d77061c2a8fc5d6,0,Number of other people present,1,5 people,8 people,direction,2303,,,,,2022-06-30 13:45:13,85298
5ea3aa462d77061c2a8fc5d6,ma_choice_v4_social_pilot2,5ea3aa462d77061c2a8fc5d6,0,Number of other people present,1,8 people,10 people,direction,1839,,,,,2022-06-30 13:45:15,85299
5ea3aa462d77061c2a8fc5d6,ma_choice_v4_social_pilot2,5ea3aa462d77061c2a8fc5d6,0,Number of other people present,1,10 people,12 people,direction,1710,,,,,2022-06-30 13:45:17,85300
5ea3aa462d77061c2a8fc5d6,ma_choice_v4_social_pilot2,5ea3aa462d77061c2a8fc5d6,1,Amount of alcohol present,0,None,A Lot,direction,2847,,,,,2022-06-30 13:45:21,85301
5ea3aa462d77061c2a8fc5d6,ma_choice_v4_social_pilot2,5ea3aa462d77061c2a8fc5d6,1,Amount of alcohol present,0,None,A Little,direction,2566,,,,,2022-06-30 13:45:24,85302
5ea3aa462d77061c2a8fc5d6,ma_choice_v4_social_pilot2,5ea3aa462d77061c2a8fc5d6,1,Amount of alcohol present,0,A Little,A Moderate Amount,direction,1622,,,,,2022-06-30 13:45:25,85303
5ea3aa462d77061c2a8fc5d6,ma_choice_v4_social_pilot2,5ea3aa462d77061c2a8fc5d6,1,Amount of alcohol present,0,A Moderate Amount,A Lot,direction,1631,,,,,2022-06-30 13:45:27,85304
5ea3aa462d77061c2a8fc5d6,ma_choice_v4_social_pilot2,5ea3aa462d77061c2a8fc5d6,2,Duration,1,30 minutes,90 minutes,direction,3263,,,,,2022-06-30 13:45:31,85305
5ea3aa462d77061c2a8fc5d6,ma_choice_v4_social_pilot2,5ea3aa462d77061c2a8fc5d6,2,Duration,1,30 minutes,50 minutes,direction,1342,,,,,2022-06-30 13:45:33,85306
5ea3aa462d77061c2a8fc5d6,ma_choice_v4_social_pilot2,5ea3aa462d77061c2a8fc5d6,2,Duration,1,50 minutes,60 minutes,direction,1982,,,,,2022-06-30 13:45:35,85307
5ea3aa462d77061c2a8fc5d6,ma_choice_v4_social_pilot2,5ea3aa462d77061c2a8fc5d6,2,Duration,1,60 minutes,80 minutes,direction,1039,,,,,2022-06-30 13:45:36,85308
5ea3aa462d77061c2a8fc5d6,ma_choice_v4_social_pilot2,5ea3aa462d77061c2a8fc5d6,2,Duration,1,80 minutes,90 minutes,direction,1439,,,,,2022-06-30 13:45:37,85309
5ea3aa462d77061c2a8fc5d6,ma_choice_v4_social_pilot2,5ea3aa462d77061c2a8fc5d6,3,Distance from home,0,5 min away,60 min away,direction,1743,,,,,2022-06-30 13:45:40,85310
5ea3aa462d77061c2a8fc5d6,ma_choice_v4_social_pilot2,5ea3aa462d77061c2a8fc5d6,3,Distance from home,0,5 min away,20 min away,direction,958,,,,,2022-06-30 13:45:41,85311
5ea3aa462d77061c2a8fc5d6,ma_choice_v4_social_pilot2,5ea3aa462d77061c2a8fc5d6,3,Distance from home,0,20 min away,35 min away,direction,919,,,,,2022-06-30 13:45:42,85312
5ea3aa462d77061c2a8fc5d6,ma_choice_v4_social_pilot2,5ea3aa462d77061c2a8fc5d6,3,Distance from home,0,35 min away,45 min away,direction,910,,,,,2022-06-30 13:45:43,85313
5ea3aa462d77061c2a8fc5d6,ma_choice_v4_social_pilot2,5ea3aa462d77061c2a8fc5d6,3,Distance from home,0,45 min away,60 min away,direction,1071,,,,,2022-06-30 13:45:44,85314
5ea3aa462d77061c2a8fc5d6,ma_choice_v4_social_pilot2,5ea3aa462d77061c2a8fc5d6,4,Quality of socializing,1,Very Bad,Very Good,direction,2559,,,,,2022-06-30 13:45:47,85315
5ea3aa462d77061c2a8fc5d6,ma_choice_v4_social_pilot2,5ea3aa462d77061c2a8fc5d6,4,Quality of socializing,1,Very Bad,Bad,direction,1711,,,,,2022-06-30 13:45:49,85316
5ea3aa462d77061c2a8fc5d6,ma_choice_v4_social_pilot2,5ea3aa462d77061c2a8fc5d6,4,Quality of socializing,1,Bad,Moderate,direction,2431,,,,,2022-06-30 13:45:51,85317
5ea3aa462d77061c2a8fc5d6,ma_choice_v4_social_pilot2,5ea3aa462d77061c2a8fc5d6,4,Quality of socializing,1,Moderate,Good,direction,1974,,,,,2022-06-30 13:45:53,85318
5ea3aa462d77061c2a8fc5d6,ma_choice_v4_social_pilot2,5ea3aa462d77061c2a8fc5d6,4,Quality of socializing,1,Good,Very Good,direction,1399,,,,,2022-06-30 13:45:55,85319
5ea3aa462d77061c2a8fc5d6,ma_choice_v4_social_pilot2,5ea3aa462d77061c2a8fc5d6,5,Amount of food present,1,None,A Lot,direction,3383,,,,,2022-06-30 13:45:59,85320
5ea3aa462d77061c2a8fc5d6,ma_choice_v4_social_pilot2,5ea3aa462d77061c2a8fc5d6,5,Amount of food present,1,None,A Little,direction,1135,,,,,2022-06-30 13:46:00,85321
5ea3aa462d77061c2a8fc5d6,ma_choice_v4_social_pilot2,5ea3aa462d77061c2a8fc5d6,5,Amount of food present,1,A Little,A Moderate Amount,direction,1158,,,,,2022-06-30 13:46:01,85322
5ea3aa462d77061c2a8fc5d6,ma_choice_v4_social_pilot2,5ea3aa462d77061c2a8fc5d6,5,Amount of food present,1,A Moderate Amount,A Lot,direction,1103,,,,,2022-06-30 13:46:02,85323
5ea3aa462d77061c2a8fc5d6,ma_choice_v4_social_pilot2,5ea3aa462d77061c2a8fc5d6,6,Quality of music playing,1,Very Bad,Very Good,direction,1480,,,,,2022-06-30 13:46:05,85324
5ea3aa462d77061c2a8fc5d6,ma_choice_v4_social_pilot2,5ea3aa462d77061c2a8fc5d6,6,Quality of music playing,1,Very Bad,Bad,direction,1487,,,,,2022-06-30 13:46:07,85325
5ea3aa462d77061c2a8fc5d6,ma_choice_v4_social_pilot2,5ea3aa462d77061c2a8fc5d6,6,Quality of music playing,1,Bad,Moderate,direction,1054,,,,,2022-06-30 13:46:08,85326
5ea3aa462d77061c2a8fc5d6,ma_choice_v4_social_pilot2,5ea3aa462d77061c2a8fc5d6,6,Quality of music playing,1,Moderate,Good,direction,1911,,,,,2022-06-30 13:46:10,85327
5ea3aa462d77061c2a8fc5d6,ma_choice_v4_social_pilot2,5ea3aa462d77061c2a8fc5d6,6,Quality of music playing,1,Good,Very Good,direction,1319,,,,,2022-06-30 13:46:11,85328
5becfeed4f191100013b46db,ma_choice_v4_social_pilot2,5becfeed4f191100013b46db,0,Quality of socializing,1,,,ew_att_rating,7472,,,,,2022-06-30 14:02:14,85329
5becfeed4f191100013b46db,ma_choice_v4_social_pilot2,5becfeed4f191100013b46db,0,Duration,1,,,ew_att_rating,7472,,,,,2022-06-30 14:02:14,85330
5becfeed4f191100013b46db,ma_choice_v4_social_pilot2,5becfeed4f191100013b46db,0,Distance from home,1,,,ew_att_rating,7472,,,,,2022-06-30 14:02:14,85331
